ciIndication,indication_name
313,Streptococcus pneumoniae infection
360,Pneumonia
4,Acquired immune deficiency syndrome
1263,Mucositis
1776,Adult varicella zoster virus infection
372,Ulcer
52,Skin burns
77,Conjunctivitis
94,Dermatitis
344,Viral infection
746,Infectious disease
164,HSV-1 infection
2240,Bacterial vaginosis
394,Otitis media
1815,Bacterial pneumonia
995,Clostridium difficile infection
343,Vibrio cholerae infection
287,Respiratory syncytial virus infection
280,Pseudomonas aeruginosa infection
1370,Zygomycete infection
1027,Female genital tract infection
1778,Female contraception
227,Neisseria gonorrhoeae infection
396,Papillomavirus infection
778,Chlamydia infection
392,Varicella zoster virus infection
1110,Tinea
2427,Tinea corporis
2428,Tinea cruris
2429,Tinea pedis
600,Erythematosquamous skin disease
516,Upper respiratory tract infection
1136,Leishmania infection
1010,Urogenital tract infection
189,Inflammatory bowel disease
1135,Osteomyelitis
1803,Bacterial meningitis
389,Neisseria meningitidis infection
146,Hemorrhagic shock
1143,Amyloidosis
2566,Amyloid polyneuropathy
2540,Mitochondrial disease
39,Bacillus anthracis infection
117,Enterococcus faecium infection
1488,Chronic bronchitis
309,Staphylococcus infection
1565,Aortic valve stenosis
2976,Bronchiolitis
393,Scabies infection
2024,Erythema
219,Mycobacterium leprae infection
150,Helminth infection
336,Trypanosomiasis
1061,Sinusitis
2345,Tonsillitis
2478,Retinopathy of prematurity
2620,Cerebral palsy
263,Phenylketonuria
596,Endotoxic shock
699,Pediculosis capitis infestation
453,Pharyngitis
1783,SARS coronavirus infection
805,Stomach ulcer
1125,Verruca vulgaris
2080,Dermatophytosis
137,Gram negative bacterium infection
1475,Streptococcus pyogenes infection
2474,Myositis
484,Skin infection
1833,Fever
1991,Neutropenia
1284,Yellow fever virus infection
1767,Hepatocellular carcinoma
70,Liver cirrhosis
2195,Gastroenteritis
267,Plasmodium falciparum infection
151,Hepatitis A virus infection
1798,Bacterial urinary tract infection
1777,Pediatric varicella zoster virus infection
1,Measles virus infection
449,Mumps virus infection
460,Rubella virus infection
1009,Urinary tract infection
509,Respiratory tract infection
202,Liver tumor
1337,Fusarium infection
1487,Acute bronchitis
47,Bordetella pertussis infection
72,Clostridium tetani infection
81,Corynebacterium diphtheriae infection
797,Lung malformation
598,Enterobacteriaceae infection
473,Prostatitis
3081,Abscess
50,Bronchitis
1293,CMV retinitis
2984,Kidney transplantation
145,Haemophilus influenzae infection
2951,Urethritis
3089,Otorhinolaryngological infection
149,Helicobacter pylori infection
403,Cystitis
1320,Histoplasma infection
562,Central nervous system infection
2628,Chromoblastomycosis
1311,Candida glabrata infection
1481,Enterococcus infection
284,Pyelonephritis
2568,Decubitus ulcer
278,Protozoal infection
53,Candida albicans infection
433,Dysuria
511,Lower respiratory tract infection
452,Peritonitis
1402,Bacillus infection
3140,Pelvic inflammatory disease
2217,Cholestasis
2435,Osteitis
1347,Scedosporium infection
128,Gastritis
1556,Bacterial endocarditis
401,Impetigo
1532,Vasculitis
1888,Wegener granulomatosis
347,Wound healing
1107,Allergic rhinitis
31,Asthma
477,Rhinitis
1482,Enterococcus faecalis infection
294,Rotavirus infection
1268,VRSA infection
120,Escherichia coli infection
1393,Bacteroides infection
2880,Parotitis
1072,Colitis
2229,Vulvitis
1232,Condyloma
320,Tardive dyskinesia
686,Ocular inflammation
816,Septic shock
1109,Dermatomycosis
26,Appendicitis
443,Hyperthermia
517,Common cold
1283,Japanese encephalitis virus infection
554,Bone and joint infection
2943,Tracheobronchitis
2546,Ocular infection
7,Adenovirus infection
1296,Keratoconjunctivitis
3040,Acne vulgaris
1275,HIV associated dementia
250,Pancreatitis
1474,Group A Streptococcus infection
368,Movement disorder
486,Bladder disease
272,Poliovirus infection
271,Pneumocystis carinii infection
270,Plasmodium vivax infection
2550,Rhinorrhea
1485,Viral respiratory tract infection
264,Picornavirus infection
1126,Cryptosporidium infection
2477,Primary sclerosing cholangitis
430,Coxsackie virus infection
1809,Viral meningitis
337,Ulcerative colitis
2070,Blister
1075,Haemophilus infection
1480,Enterococcaceae infection
502,Plasmodium malariae infection
303,Sickle cell anemia
192,Irritable bowel syndrome
432,Dyspepsia
301,Shigella infection
144,Hemolytic uremic syndrome
487,Parvovirus infection
1987,Granulocytopenia
2432,Bronchiectasis
2437,Empyema
434,Endocarditis
3054,Fistula
1058,Chronic fatigue syndrome
1243,Gastroesophageal reflux
2083,Dumping syndrome
1519,Ileus
1503,Proctitis
1512,Zollinger-Ellison syndrome
810,Esophagitis
556,Brain disease
599,Intestine disease
404,Constipation
913,Muscle hypertonia
3027,Hypertrophic gastritis
2100,Gastroparesis
395,Gastrointestinal function disorder
623,Head and neck tumor
2528,Hepatic encephalopathy
2216,Cholangitis
2537,Biliary cirrhosis
2204,Ascites
1269,Functional bowel disorder
148,Headache
352,Chemotherapy-induced emesis
110,Emesis
12,Allergy
187,Urinary incontinence
129,Gastrointestinal disease
568,Colon disease
2376,Overactive bladder
3063,Delirium
1811,Neisseria meningitidis meningitis
829,Fatigue
616,Graft versus host disease
242,Esophageal disease
376,Gastric motility disorder
175,Hyperlipidemia
238,Obesity
2520,Insulin resistance
1088,Nausea drug-induced
1501,Anal fissure
258,Peptic ulcer
196,Legionella infection
154,Hepatitis
2539,Celiac disease
2088,Enterocolitis
2168,Short bowel syndrome
2468,Pouchitis
808,Duodenal ulcer
989,Colorectal tumor
1272,Myelodysplastic syndrome
1175,Motion sickness
455,Premature labor
755,Lung tumor
2212,Hepatorenal syndrome
665,Mouth ulcer
542,Joint disease
105,Dysmenorrhea
767,Colon tumor
474,Poison intoxication
109,Eczema
2438,Allergic conjunctivitis
276,Prostate tumor
541,Artery disease
2219,Wilson disease
1185,Chronic obstructive pulmonary disease
2991,Uterine hemorrhage
3065,Autoimmune hepatitis
1141,Porphyria
1879,Hereditary hemorrhagic telangiectasia
2360,Periodontitis
1102,Atopic dermatitis
1114,Pemphigus
534,Amoeba infection
2110,Hidradenitis
126,Gallstones
2213,Choledocholithiasis
1277,Familial adenomatous polyposis
577,Gastrointestinal infection
573,Corneal ulcer
445,Hypoglycemia
125,Gallbladder disease
1734,Chronic lymphocytic leukemia
1766,Renal cell carcinoma
249,Pancreas tumor
999,Renal tumor
735,Toxicity
248,Pancreas disease
156,Hereditary angioedema
147,Hemorrhoids
2203,Peritoneal disease
1426,Burkholderia infection
323,Planned abortion
1525,Spontaneous abortion
113,Endometriosis
1127,Fibrosis
8,Respiratory distress syndrome
1053,Hypoxia
2559,Cutaneous lupus erythematosus
136,Gout
180,Hyperuricemia
341,Uveitis
2563,Neonatal respiratory distress syndrome
1298,Alpha-1 antitrypsin deficiency
1101,Skin allergy
1103,Contact dermatitis
185,Immune disorder
307,Squamous cell carcinoma
2381,Chronic inflammatory demyelinating polyneuropathy
3138,Choroidal neovascularization
2576,Dysgeusia
1057,Keratosis
279,Pruritus
1078,Lung embolism
504,Immune deficiency
2987,Heart transplant rejection
2989,Kidney transplant rejection
2985,Lung transplantation
2637,Non-alcoholic steatohepatitis
1067,Chronic obstructive airway disease
2549,Postmenopausal osteoporosis
3038,Appetite loss
186,Erectile dysfunction
1241,Prostate hyperplasia
82,Cough
3078,Genital tract infection
451,Parainfluenza virus infection
194,Sarcoma
1148,Sjoegrens syndrome
1004,Endocrine tumor
1128,Neuroendocrine tumor
5,Acromegaly
552,Bleeding
3202,Seasonal allergic rhinitis
1980,Leukocytosis
46,Bone marrow transplantation
3,Acne
230,Neoplasm
54,Carcinoma
2439,Arthralgia
2440,Musculoskeletal pain
1137,Leishmania donovani infection
3084,Focal segmental glomerulosclerosis
806,Small intestine disease
2248,Meconium aspiration syndrome
1105,Scleroderma
1856,Shy Drager syndrome
408,Hypotension
340,Urticaria
3201,Perennial allergic rhinitis
1055,Rectal tumor
711,Respiratory disease
507,Immediate type hypersensitivity
718,Senile dementia
1796,Epididymitis
2625,Cholelithiasis
346,Vitiligo
2297,Renal colic
1265,Osteopetrosis
3074,Chronic granulomatous disease
398,Ankylosing spondylitis
1036,Sarcoidosis
646,Lung inflammation
1447,Legionella pneumophila infection
1133,Thrombocytopenic purpura
2065,Antiphospholipid syndrome
2259,Immune thrombocytopenic purpura
319,Non-Hodgkin lymphoma
2012,Aplasia
231,Nephritis
2643,Autoimmune hemolytic anemia
1294,Castlemans disease
1113,Pemphigoid
2404,Lupus nephritis
134,Glaucoma
1056,Ichthyosis
240,Ocular hypertension
3211,Cancer pain
414,Periodontal disease
2508,Hyperalgesia
748,Injury
2990,Stem cell transplantation
3101,Bone marrow transplant rejection
2272,Corneal injury
2998,Acute lung injury
302,Shock
675,Nervous system inflammation
2872,Endophthalmitis
1108,Glioma
206,Meningitis
799,Ovary tumor
1271,Heparin induced thrombocytopenia
75,Blood clotting disorder
2988,Liver transplant rejection
1541,Congenital heart defect
45,Bone disease
288,Retinopathy
566,Chorioretinitis
207,Psychiatric disorder
468,Obsessive compulsive disorder
3058,Varicosis ulcer
3022,Corneal transplantation
24,Anorexia nervosa
2085,Dysphagia
3208,Nasal polyps
461,Scar tissue
9,Aggression
1909,Binge eating disorder
51,Bulimia nervosa
1728,Acute lymphoblastic leukemia
106,Eating disorder
1735,Chronic myelocytic leukemia
981,Hypogonadism
1035,Granulomatosis
1921,Impulse control disorder
2718,Histiocytoma
1713,Gonadal dysgenesis
406,Turners syndrome
789,Foot ulcer
300,Seborrheic dermatitis
1942,Depersonalization disorder
1929,Borderline personality disorder
2891,Pseudohypoaldosteronism
203,Lymphoma
1071,Lichen
2054,Hematological neoplasm
1274,Premature ejaculation
3013,Abortion
1654,Congenital adrenal hyperplasia
243,Opiate dependence
1705,Endometrioid carcinoma
246,Osteoporosis
1262,Non-small-cell lung cancer
13,Alopecia
470,Hirsutism
1732,Acute promyelocytic leukemia
427,Uterine cervix tumor
2639,Testosterone deficiency
2454,Glioblastoma
1950,Conduct disorder
2399,Adenocarcinoma
1828,Multiple myeloma
142,Hematological disease
324,Thrombocytopenia
216,Musculoskeletal disease
411,Pregnancy disorder
205,Melanoma
1261,Small-cell lung cancer
199,Leukemia
1080,Female infertility
1780,Uterine fibroids
1041,Sunburn
1046,Urolithiasis
1822,Hyperoxaluria
680,Leukopenia
1729,B-cell acute lymphoblastic leukemia
161,Hodgkins disease
3150,Social phobia
316,B-cell lymphoma
3205,Gastrointestinal stromal tumor
752,Intoxication
1069,Metastasis
235,Nicotine dependence
176,Hyperparathyroidism
2855,Pagets bone disease
936,Kaposis sarcoma
2136,Noonan syndrome
1753,Peripheral T-cell lymphoma
123,Fragile X syndrome
1147,Lacrimal gland disease
2170,Skin cancer
2652,Myotonic dystrophy
1745,Follicle center lymphoma
1665,Secondary hyperparathyroidism
2225,Hyperhidrosis
172,Hyperbilirubinemia
2436,Myelofibrosis
722,Skin tumor
3083,Peritoneal tumor
2726,Neuroblastoma
2953,Body weight change
1060,Precancer
2261,Pompes disease
1651,Adrenal gland hypofunction
6,Addisons disease
1240,Mesothelioma
1235,Cervical dysplasia
374,Estrogen deficiency
95,Dermatological disease
557,Breast disease
2164,Rosacea
127,Stomach tumor
2273,Oligodendroglioma
2567,Anaplastic astrocytoma
1659,Gynecomastia
444,Hypocalcemia
1037,Lymphoproliferative disease
1003,Hyperphosphatemia
1094,Ovary disease
1937,Generalized anxiety disorder
2380,Bladder cancer
1727,Acute leukemia
3195,Reproductive disorder
555,Bone marrow disease
1764,Basal cell carcinoma
131,Gastrointestinal tumor
1112,Epidermolysis bullosa
42,Bladder tumor
121,Factor VIII deficiency
3096,Leg ulcer
2641,Lipodystrophy
1256,Hyponatremia
1658,Fibrocystic breast disease
1648,Adrenal cortical carcinoma
59,Cataract
1772,Osteosarcoma
1736,Hairy cell leukemia
407,Muscle wasting disease
44,Blood transfusion
3105,Vulvar intraepithelial neoplasia
1063,Xerostomia
1754,Cutaneous T-cell lymphoma
2049,Adrenal gland tumor
2659,Diabetic macular edema
469,Gingivitis
1079,Infertility
2006,Myopia
1733,Chronic leukemia
223,Myeloid leukemia
1755,Anaplastic large cell lymphoma
1011,Esophagus tumor
143,Hemolytic anemia
997,Hearing disorder
570,Connective tissue disease
1790,Penile induration
2672,Dupuytren contracture
1264,Macroglobulinemia
1744,Mantle cell lymphoma
1765,Cholangiocarcinoma
3146,Gallbladder tumor
1006,Aplastic anemia
1134,Thyroid tumor
1233,Precocious puberty
1749,Diffuse large B-cell lymphoma
576,Diabetic retinopathy
788,Renovascular hypertension
3103,Fetal growth restriction
2535,Growth hormone deficiency
1499,Stomach infection
1770,Nephroblastoma
1140,Jaundice
273,Myeloproliferative disorder
704,Pleural disease
1279,Panic disorder
668,Muscle weakness
1089,Neurotoxicity drug-induced
2441,Vision disorder
3147,Open angle glaucoma
1771,Transitional cell carcinoma
2925,Vitamin E deficiency
758,Multidrug resistant infection
1746,Marginal zone B-cell lymphoma
2513,Uveal disease
364,Hormone deficiency
2529,Hot flashes
2298,Polycystic kidney disease
2955,Weight loss
2317,Thrombocythemia
2319,Polycythemia vera
69,Renal failure
1523,Menopause
2523,Vitreous hemorrhage
2453,Astrocytoma
173,Hypercalcemia
2966,Carcinoid syndrome
1768,Nasopharyngeal carcinoma
2036,Hypereosinophilic syndrome
359,Diuresis
480,Premenstrual syndrome
365,Menstruation disorder
1081,Male infertility
1229,Von Willebrands disease
1044,Hyperlipoproteinemia
2997,Acute intermittent porphyria
688,Ocular tumor
2941,Tourette syndrome
322,Thalassemia
2236,Hypertriglyceridemia
2371,Thalassemia major
1038,Muscle disease
2369,Beta thalassemia
2228,Vaginitis
2472,Cartilage disease
1090,Cardiotoxicity drug-induced
63,Cerebral edema
774,Fabry disease
2940,Tic disorder
3204,Familial hypercholesterolemia
1829,Bone metastases
1273,Barretts esophagus
793,Mouth tumor
1252,Iron overload
2231,Vagina disease
367,Radiation sickness
378,Parturition
262,Pheochromocytoma
2239,Blepharospasm
564,Cervical dystonia
211,Molluscum contagiosum infection
2424,Sitosterolemia
1738,Prolymphocytic leukemia
1013,Musculoskeletal tumor
2448,Rhabdomyosarcoma
1924,Compulsive gambling
1012,Bone tumor
2446,Leiomyosarcoma
2447,Liposarcoma
1935,Post traumatic stress disorder
311,T-cell lymphoma
1228,Factor IX deficiency
740,Uterus tumor
2975,Ewing sarcoma
589,Dystonia
73,Cluster headache
1930,Paranoid schizophrenia
1677,Inappropriate ADH syndrome
3122,Mild cognitive impairment
1234,Dysplasia
3114,Bipolar I disorder
3222,Muckle Wells syndrome
1730,T-cell acute lymphoblastic leukemia
1752,Precursor T-lymphoblastic lymphoma-leukemia
2498,Osteogenesis imperfecta
439,Hemophilia
1957,Mania
366,Genitourinary disease
794,Pharynx tumor
1008,Leukopenia drug induced
620,Hemoglobinopathy
2547,Dermatofibrosarcoma
1257,Schizoaffective disorder
1971,Schizophreniform disorder
2409,Churg-Strauss syndrome
550,Benign tumor
1943,Psychiatric symptom
1699,Polycystic ovary syndrome
1934,Agoraphobia
2193,Anal tumor
2243,Fallopian tube cancer
2618,Complex regional pain syndrome
1520,Narcolepsy
3217,Cataplexy
382,Hepatitis E virus infection
613,Genitourinary tract tumor
759,Central nervous system tumor
400,Hypersomnia
2241,Fecal incontinence
1138,Leishmania braziliensis infection
1517,Anal dysplasia
1039,Myalgia
3220,Systemic inflammatory response syndrome
1599,Thrombophlebitis
1516,Biliary cancer
738,Urinary tract tumor
726,Somatosensory disorder
648,Lysosome storage disease
3225,Optic neuritis
2368,Alpha thalassemia
1049,Ebola virus infection
2978,General anesthesia
1100,Iron metabolism disorder
2400,Dyspnea
79,Corneal disease
1671,Dwarfism
633,Pituitary disease
369,Male sexual dysfunction
1042,Aging
112,Endocrine disease
1743,Lymphoplasmacytoid lymphoma
1779,Male contraception
1757,Adult T-cell lymphoma
1758,Angioimmunoblastic T-cell lymphoma
1760,Intestinal T-cell lymphoma
1762,T-cell large granular lymphocyte leukemia
1054,Testis tumor
1505,Gastrointestinal disease by process
1504,Gastrointestinal disease by location
2184,Gastrointestinal bleeding
1507,Pancreatic ductal adenocarcinoma
2014,Bells palsy
1015,Salivary gland disease
478,Raynauds disease
3141,Lung transplant rejection
2340,Laryngopharyngitis
1529,Liver failure
627,Helicobacter infection
768,Behcets disease
2982,Heart transplantation
1583,Variant angina pectoris
1876,Syncope
2656,Retinal venous occlusion
2011,Melasma
781,Encephalitis
1819,Chlamydia pneumoniae infection
548,Autosomal recessive disorder
643,Leukocyte disorder
1916,Pedophilia
2533,Medulloblastoma
1814,Neoplastic meningitis
2455,Ependymoma
1297,Paroxysmal nocturnal hemoglobinuria
1005,Unidentified indication
2285,Albuminuria
2410,Cockayne syndrome
3094,Multiple organ failure
3016,Xerophthalmia
2497,Scleritis
1964,Seasonal affective disorder
3221,Back pain
289,Retinoblastoma
111,Emphysema
2657,Proliferative diabetic retinopathy
2795,Mastocytosis
3020,Skin rash
104,Down syndrome
2545,Nocturia
68,Chlamydia trachomatis infection
2237,Biliary tract infection
1748,Plasmacytoma
2548,Male osteoporosis
510,Respiratory tract allergy
2992,Tonic clonic epilepsy
3134,Tonic seizure
3135,Clonic seizure
1016,Stomatitis
1922,Intermittent explosive disorder
483,Urinary dysfunction
438,Gynecological disorder
1543,Atrial flutter
1552,Paroxysmal tachycardia
1837,Paroxysmal ventricular tachycardia
739,Urogenital ulcer
3239,Portal hypertension
2456,Trachoma
1855,Acrocyanosis
2442,Blindness
1902,Somatoform disorder
1906,Psychogenic pain
1624,Diabetic angiopathy
481,Consciousness disorder
135,Glomerulonephritis
2621,Lipoprotein lipase deficiency
252,Parasitic infection
298,Schistosomiasis
2407,Spinocerebellar ataxia
1607,Aortic aneurysm
3120,Alcohol withdrawal delirium
1357,Saccharomyces infection
450,Nephrotoxicity
160,HIV-2 infection
133,Giardia lamblia infection
1131,Pituitary tumor
2421,Vascular injury
2600,Atelectasis
761,Spinal cord tumor
2383,Aortic stenosis
3023,Lymphangioleiomyomatosis
2854,Ostealgia
1580,Chagas cardiomyopathy
1540,Cardiovascular development disorder
2419,Crigler-Najjar syndrome
3206,Macular disease
3246,Hormone refractory prostate cancer
2931,Tachypnea
2753,Hemothorax
1515,Biliary tumor
3247,Hormone dependent prostate cancer
780,Kawasaki disease
3102,Heterotopic ossification
776,Fatty liver disease
2954,Weight gain
3029,Esophageal hemorrhage
2333,Presbycusis
2173,Tetralogy of Fallot
3240,Medullary thyroid cancer
2937,Thymus disease
2939,Thymoma
505,Hypersensitivity
2051,Menorrhagia
2636,Steatohepatitis
2857,Giant cell bone tumor
177,Hyperprolactinemia
3210,Sarcopenia
335,Trypanosoma cruzi infection
2551,Sciatica
3111,Heart injury
2039,Hypoactive sexual desire disorder
1244,Gonad tumor
2967,Thyroid associated ophthalmopathy
2883,Photophobia
2860,Osteopenia
2727,Gliosarcoma
1681,Goiter
3076,IgA nephropathy
3192,Heavy metal poisoning
1615,Carotid stenosis
2465,Neurofibromatosis
1996,Akathesia
436,Flatulence
103,Disseminated intravascular coagulation
1278,Leukoplakia
431,Cysticercosis
2996,Melioidosis
2936,Tendinitis
1945,Dysthymic disorder
3097,Infantile spasms
3209,Oral mucositis
2413,Subcortical vascular dementia
348,Salmonella typhi infection
706,Prophylaxis
753,Toxicity and intoxication
1048,Marburg virus infection
1813,Cryptococcus neoformans meningitis
1554,Ventricular tachycardia
1555,Ventricular fibrillation
604,Factor VII deficiency
1050,Hallucination
3045,Cardiac surgical procedure
1001,Nervous system injury
2844,Enterocytozoonidae infection
448,Microsporidial infection
2459,Tick borne encephalitis virus infection
285,Rabies virus infection
2480,Ocular motility disorder
2288,Microalbuminuria
1701,Ovarian hyperstimulation syndrome
3071,Spondylosyndesis
3062,Death
1562,Heart valve disease
71,Clostridium botulinum infection
2050,Uterus disease
3072,Cystinosis
982,X-linked genetic disorder
2780,Protein deficiency
237,Norwalk virus infection
3104,Hypogelsolinemia
2222,Sialorrhea
257,Louse infestation
1032,Hantavirus infection
2562,Adult respiratory distress syndrome
1397,Yersinia pestis infection
78,Contraception
412,Bradycardia
2801,Meningeal neoplasm
3115,Bipolar II disorder
2425,Frontotemporal dementia
2950,Urethral disease
2717,Fibroma
1396,Chlamydiales infection
3131,Juvenile myoclonic epilepsy
441,Hyperinsulinemia
3046,Chikungunya virus infection
2242,Fallopian tube tumor
1978,Alcoholic hepatitis
1625,Coronary arteriosclerosis
1995,Primary biliary cirrhosis
141,Guillain Barre syndrome
3055,Gastrointesinal fistula
3057,Perianal fistula
3258,Acute coronary syndrome
1692,Hyperandrogenism
551,Biliary tract disease
1476,Streptococcus agalactiae infection
338,Uremia
1639,Intracranial vasospasm
3108,Renal injury
3121,Drug withdrawal syndrome
1863,Microangiopathy
222,Mycoplasma infection
629,Hepatobiliary system tumor
2151,Pityriasis
756,Respiratory tract tumor
1827,Polycythemia
3145,Herpetic keratitis
501,Extrapyramidal syndrome
3257,Stage IV melanoma
2339,Laryngitis
465,Tyrosinemia
3067,Stargardt disease
1606,Aortic disease
2650,Cryoglobulinemia
540,Arteriosclerosis
2920,Spinal cord disease
2788,Lipoma
1926,Trichotillomania
2913,Siderosis
2611,Boutonneuse fever
2434,Vertigo
1316,Penicillium infection
2927,Persistent vegetative state
2893,Pulpitis
2475,Dermatomyositis
2476,Polymyositis
494,Skin blood vessel disorder
3242,Otitis externa
3090,Bronchospasm
1022,Inner ear disease
1710,Delayed puberty
2617,Carpal tunnel syndrome
2167,Seminoma
2505,Filariasis
3091,Gastrointestinal injury
3299,Epstein Barr virus infection
3300,Postherpetic neuralgia
3006,Nasal congestion
2818,Myoclonus
813,Ataxia
1242,Stomach function disorder
3082,Abdominal abscess
116,Enterobacter infection
428,Clostridium infection
3366,Essential hypertension
1496,Shigella dysenteriae infection
1949,Attention deficit-disruptive behaviour disorder
1956,Confusion
3484,Cushings syndrome
1145,Keratitis
2234,Blepharitis
2053,Wiskott-Aldrich syndrome
339,Urinary tract disease
3370,Pachyonychia congenita
2558,Folliculitis
3129,Tuberous sclerosis
1568,Mitral valve stenosis
3510,Pulmonary artery hypertension
3437,Lower back pain
1077,Embolism
2315,Nephrotic syndrome
2382,Urinary retention
1835,Epistaxis
1560,Cardiogenic shock
229,Nematode infection
3519,Obstructive sleep apnea
3452,Asthma attack
2816,Lice infestation
2554,Stiff person syndrome
2159,Pseudoxanthoma elasticum
1644,Congestive cardiomyopathy
3609,Agitation
1073,Pseudomembranous colitis
3462,Metastatic liver cancer
3665,Metastatic non small cell lung cancer
1323,Coccidioides infection
2022,Enuresis
3666,Metastatic stomach cancer
3017,Skin photosensitivity disorder
1455,Moraxella catarrhalis infection
3019,Haemophilus ducreyi infection
1068,Eyelid disease
2414,Chalazion
2210,Borborygmus
2087,Eisenmenger syndrome
2318,Liver fibrosis
3713,Advanced solid tumor
3657,Metastatic breast cancer
3671,Metastatic rectal cancer
2470,Paraplegia
3669,Metastatic pancreas cancer
3521,Neurofibromatosis type I
3130,Myoclonic seizure
3439,Partial seizure
3440,Complex partial seizure
1647,Adrenal cortical adenoma
3658,Metastatic colorectal cancer
3417,Pterygium
3771,Idiopathic pulmonary fibrosis
1696,Anovulation
3673,Metastatic head and neck cancer
630,Hookworm infection
1994,Hemochromatosis
1791,Penis tumor
1688,Thyrotoxicosis
2501,Azoospermia
197,Leishmania tropica infection
1303,Liver infection
1566,Mitral valve disease
1567,Mitral valve insufficiency
463,Thermal injury
2525,Cellulitis
179,Hyperthyroidism
3002,Adult onset Stills disease
701,Personality disorder
1093,Amenorrhea
2134,Nail disease
3518,Polypoidal choroidal vasculopathy
3573,Necrosis
3768,Sporadic inclusion body myositis
1051,Periarticular joint disease
1747,Splenic marginal zone lymphoma
2678,Frontotemporal dysplasia
