icd9,icd9_condition,category,super_category
40,Other bacterial diseases,Other bacterial diseases (030-041),infectious and parasitic diseases
41,Bacterial infection in conditions classified elsewhere and of unspecified site,Other bacterial diseases (030-041),infectious and parasitic diseases
42,Human immunodeficiency virus [HIV] disease,Human immunodeficiency virus (042),infectious and parasitic diseases
45,Acute poliomyelitis,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system (045-049),infectious and parasitic diseases
46,Slow virus infection of central nervous system,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system (045-049),infectious and parasitic diseases
47,Meningitis due to enterovirus,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system (045-049),infectious and parasitic diseases
48,Other enterovirus diseases of central nervous system,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system (045-049),infectious and parasitic diseases
49,Other non-arthropod-borne viral diseases of central nervous system,Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system (045-049),infectious and parasitic diseases
50,Smallpox,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
51,Cowpox and paravaccinia,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
52,Chickenpox,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
53,Herpes zoster,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
54,Herpes simplex,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
55,Measles,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
56,Rubella,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
57,Other viral exanthemata,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
58,Other human herpesvirus,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
59,Other poxvirus infections,Viral diseases accompanied by exanthem (050-059),infectious and parasitic diseases
60,Yellow fever,Arthropod-borne viral diseases (060-066),infectious and parasitic diseases
61,Dengue,Arthropod-borne viral diseases (060-066),infectious and parasitic diseases
62,Mosquito-borne viral encephalitis,Arthropod-borne viral diseases (060-066),infectious and parasitic diseases
63,Tick-borne viral encephalitis,Arthropod-borne viral diseases (060-066),infectious and parasitic diseases
64,Viral encephalitis transmitted by other and unspecified arthropods,Arthropod-borne viral diseases (060-066),infectious and parasitic diseases
65,Arthropod-borne hemorrhagic fever,Arthropod-borne viral diseases (060-066),infectious and parasitic diseases
66,Other arthropod-borne viral diseases,Arthropod-borne viral diseases (060-066),infectious and parasitic diseases
70,Viral hepatitis,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
71,Rabies,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
72,Mumps,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
73,Ornithosis,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
74,Specific diseases due to Coxsackie virus,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
75,Infectious mononucleosis,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
76,Trachoma,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
77,Other diseases of conjunctiva due to viruses and Chlamydiae,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
78,Other diseases due to viruses and Chlamydiae,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
79,Viral infection in conditions classified elsewhere and of unspecified site,Other diseases due to viruses and Chlamydiae (070-079),infectious and parasitic diseases
80,Louse-borne [epidemic] typhus,Rickettsioses and other arthropod-borne diseases (080-088),infectious and parasitic diseases
81,Other typhus,Rickettsioses and other arthropod-borne diseases (080-088),infectious and parasitic diseases
82,Tick-borne rickettsioses,Rickettsioses and other arthropod-borne diseases (080-088),infectious and parasitic diseases
83,Other rickettsioses,Rickettsioses and other arthropod-borne diseases (080-088),infectious and parasitic diseases
84,Malaria,Rickettsioses and other arthropod-borne diseases (080-088),infectious and parasitic diseases
85,Leishmaniasis,Rickettsioses and other arthropod-borne diseases (080-088),infectious and parasitic diseases
86,Trypanosomiasis,Rickettsioses and other arthropod-borne diseases (080-088),infectious and parasitic diseases
87,Relapsing fever,Rickettsioses and other arthropod-borne diseases (080-088),infectious and parasitic diseases
88,Other arthropod-borne diseases,Rickettsioses and other arthropod-borne diseases (080-088),infectious and parasitic diseases
90,Congenital syphilis,Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
91,"Early syphilis, symptomatic",Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
92,"Early syphilis, latent",Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
93,Cardiovascular syphilis,Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
94,Neurosyphilis,Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
95,"Other forms of late syphilis, with symptoms",Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
96,"Late syphilis, latent",Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
97,Other and unspecified syphilis,Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
98,Gonococcal infections,Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
99,Other venereal diseases,Syphilis and other venereal diseases (090-099),infectious and parasitic diseases
100,Leptospirosis,Other spirochetal diseases (100-104),infectious and parasitic diseases
101,Vincent's angina,Other spirochetal diseases (100-104),infectious and parasitic diseases
102,Yaws,Other spirochetal diseases (100-104),infectious and parasitic diseases
103,Pinta,Other spirochetal diseases (100-104),infectious and parasitic diseases
104,Other spirochetal infection,Other spirochetal diseases (100-104),infectious and parasitic diseases
110,Dermatophytosis,Mycoses (110-118),infectious and parasitic diseases
111,"Dermatomycosis, other and unspecified",Mycoses (110-118),infectious and parasitic diseases
112,Candidiasis,Mycoses (110-118),infectious and parasitic diseases
114,Coccidioidomycosis,Mycoses (110-118),infectious and parasitic diseases
115,Histoplasmosis,Mycoses (110-118),infectious and parasitic diseases
116,Blastomycotic infection,Mycoses (110-118),infectious and parasitic diseases
117,Other mycoses,Mycoses (110-118),infectious and parasitic diseases
118,Opportunistic mycoses,Mycoses (110-118),infectious and parasitic diseases
120,Schistosomiasis [bilharziasis],Helminthiases (120-129),infectious and parasitic diseases
121,Other trematode infections,Helminthiases (120-129),infectious and parasitic diseases
122,Echinococcosis,Helminthiases (120-129),infectious and parasitic diseases
123,Other cestode infection,Helminthiases (120-129),infectious and parasitic diseases
124,Trichinosis,Helminthiases (120-129),infectious and parasitic diseases
125,Filarial infection and dracontiasis,Helminthiases (120-129),infectious and parasitic diseases
126,Ancylostomiasis and necatoriasis,Helminthiases (120-129),infectious and parasitic diseases
127,Other intestinal helminthiases,Helminthiases (120-129),infectious and parasitic diseases
128,Other and unspecified helminthiases,Helminthiases (120-129),infectious and parasitic diseases
129,"Intestinal parasitism, unspecified",Helminthiases (120-129),infectious and parasitic diseases
130,Toxoplasmosis,Other infectious and parasitic diseases (130-136),infectious and parasitic diseases
131,Trichomoniasis,Other infectious and parasitic diseases (130-136),infectious and parasitic diseases
132,Pediculosis and phthirus infestation,Other infectious and parasitic diseases (130-136),infectious and parasitic diseases
133,Acariasis,Other infectious and parasitic diseases (130-136),infectious and parasitic diseases
134,Other infestation,Other infectious and parasitic diseases (130-136),infectious and parasitic diseases
135,Sarcoidosis,Other infectious and parasitic diseases (130-136),infectious and parasitic diseases
136,Other and unspecified infectious and parasitic diseases,Other infectious and parasitic diseases (130-136),infectious and parasitic diseases
137,Late effects of tuberculosis,Late effects of infectious and parasitic diseases (137-139),infectious and parasitic diseases
138,Late effects of acute poliomyelitis,Late effects of infectious and parasitic diseases (137-139),infectious and parasitic diseases
139,Late effects of other infectious and parasitic diseases,Late effects of infectious and parasitic diseases (137-139),infectious and parasitic diseases
140,Malignant neoplasm of lip,"Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
141,Malignant neoplasm of tongue,"Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
142,Malignant neoplasm of major salivary glands,"Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
143,Malignant neoplasm of gum,"Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
144,Malignant neoplasm of floor of mouth,"Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
145,Malignant neoplasm of other and unspecified parts of mouth,"Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
146,Malignant neoplasm of oropharynx,"Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
147,Malignant neoplasm of nasopharynx,"Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
148,Malignant neoplasm of hypopharynx,"Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
149,"Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx","Malignant neoplasm of lip, oral cavity, and pharynx (140-149)",neoplasms
150,Malignant neoplasm of esophagus,Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
151,Malignant neoplasm of stomach,Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
152,"Malignant neoplasm of small intestine, including duodenum",Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
153,Malignant neoplasm of colon,Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
154,"Malignant neoplasm of rectum, rectosigmoid junction, and anus",Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
155,Malignant neoplasm of liver and intrahepatic bile ducts,Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
156,Malignant neoplasm of gallbladder and extrahepatic bile ducts,Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
157,Malignant neoplasm of pancreas,Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
158,Malignant neoplasm of retroperitoneum and peritoneum,Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,Malignant neoplasm of digestive organs and peritoneum (150-159),neoplasms
160,"Malignant neoplasm of nasal cavities, middle ear, and accessory sinuses",Malignant neoplasm of respiratory and intrathoracic organs (160-165),neoplasms
161,Malignant neoplasm of larynx,Malignant neoplasm of respiratory and intrathoracic organs (160-165),neoplasms
162,"Malignant neoplasm of trachea, bronchus, and lung",Malignant neoplasm of respiratory and intrathoracic organs (160-165),neoplasms
163,Malignant neoplasm of pleura,Malignant neoplasm of respiratory and intrathoracic organs (160-165),neoplasms
164,"Malignant neoplasm of thymus, heart, and mediastinum",Malignant neoplasm of respiratory and intrathoracic organs (160-165),neoplasms
165,Malignant neoplasm of other and ill-defined sites within the respiratory system and intrathoracic organs,Malignant neoplasm of respiratory and intrathoracic organs (160-165),neoplasms
170,Malignant neoplasm of bone and articular cartilage,"Malignant neoplasm of bone, connective tissue, skin, and breast (170-176)",neoplasms
171,Malignant neoplasm of connective and other soft tissue,"Malignant neoplasm of bone, connective tissue, skin, and breast (170-176)",neoplasms
172,Malignant melanoma of skin,"Malignant neoplasm of bone, connective tissue, skin, and breast (170-176)",neoplasms
173,Other malignant neoplasm of skin,"Malignant neoplasm of bone, connective tissue, skin, and breast (170-176)",neoplasms
174,Malignant neoplasm of female breast,"Malignant neoplasm of bone, connective tissue, skin, and breast (170-176)",neoplasms
175,Malignant neoplasm of male breast,"Malignant neoplasm of bone, connective tissue, skin, and breast (170-176)",neoplasms
176,Kaposi's sarcoma,Kaposi's sarcoma (176),neoplasms
179,"Malignant neoplasm of uterus, part unspecified",Malignant neoplasm of genitourinary organs (179-189),neoplasms
180,Malignant neoplasm of cervix uteri,Malignant neoplasm of genitourinary organs (179-189),neoplasms
181,Malignant neoplasm of placenta,Malignant neoplasm of genitourinary organs (179-189),neoplasms
182,Malignant neoplasm of body of uterus,Malignant neoplasm of genitourinary organs (179-189),neoplasms
183,Malignant neoplasm of ovary and other uterine adnexa,Malignant neoplasm of genitourinary organs (179-189),neoplasms
184,Malignant neoplasm of other and unspecified female genital organs,Malignant neoplasm of genitourinary organs (179-189),neoplasms
185,Malignant neoplasm of prostate,Malignant neoplasm of genitourinary organs (179-189),neoplasms
186,Malignant neoplasm of testis,Malignant neoplasm of genitourinary organs (179-189),neoplasms
187,Malignant neoplasm of penis and other male genital organs,Malignant neoplasm of genitourinary organs (179-189),neoplasms
188,Malignant neoplasm of bladder,Malignant neoplasm of genitourinary organs (179-189),neoplasms
189,Malignant neoplasm of kidney and other and unspecified urinary organs,Malignant neoplasm of genitourinary organs (179-189),neoplasms
190,Malignant neoplasm of eye,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
191,Malignant neoplasm of brain,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
192,Malignant neoplasm of other and unspecified parts of nervous system,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
193,Malignant neoplasm of thyroid gland,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
194,Malignant neoplasm of other endocrine glands and related structures,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
195,Malignant neoplasm of other and ill-defined sites,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
196,Secondary and unspecified malignant neoplasm of lymph nodes,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
197,Secondary malignant neoplasm of respiratory and digestive systems,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
198,Secondary malignant neoplasm of other specified sites,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
199,Malignant neoplasm without specification of site,Malignant neoplasm of other and unspecified sites (190-199),neoplasms
200,Lymphosarcoma and reticulosarcoma,Malignant neoplasm of lymphatic and hematopoietic tissue (200-208),neoplasms
201,Hodgkin's disease,Malignant neoplasm of lymphatic and hematopoietic tissue (200-208),neoplasms
202,Other malignant neoplasm of lymphoid and histiocytic tissue,Malignant neoplasm of lymphatic and hematopoietic tissue (200-208),neoplasms
203,Multiple myeloma and immunoproliferative neoplasms,Malignant neoplasm of lymphatic and hematopoietic tissue (200-208),neoplasms
204,Lymphoid leukemia,Malignant neoplasm of lymphatic and hematopoietic tissue (200-208),neoplasms
205,Myeloid leukemia,Malignant neoplasm of lymphatic and hematopoietic tissue (200-208),neoplasms
206,Monocytic leukemia,Malignant neoplasm of lymphatic and hematopoietic tissue (200-208),neoplasms
207,Other specified leukemia,Malignant neoplasm of lymphatic and hematopoietic tissue (200-208),neoplasms
208,Leukemia of unspecified cell type,Malignant neoplasm of lymphatic and hematopoietic tissue (200-208),neoplasms
209,Neuroendocrine tumors,Neuroendocrine tumors (209),neoplasms
210,"Benign neoplasm of lip, oral cavity, and pharynx",Benign neoplasms (210-229),neoplasms
211,Benign neoplasm of other parts of digestive system,Benign neoplasms (210-229),neoplasms
212,Benign neoplasm of respiratory and intrathoracic organs,Benign neoplasms (210-229),neoplasms
213,Benign neoplasm of bone and articular cartilage,Benign neoplasms (210-229),neoplasms
214,Lipoma,Benign neoplasms (210-229),neoplasms
215,Other benign neoplasm of connective and other soft tissue,Benign neoplasms (210-229),neoplasms
216,Benign neoplasm of skin,Benign neoplasms (210-229),neoplasms
217,Benign neoplasm of breast,Benign neoplasms (210-229),neoplasms
218,Uterine leiomyoma,Benign neoplasms (210-229),neoplasms
219,Other benign neoplasm of uterus,Benign neoplasms (210-229),neoplasms
220,Benign neoplasm of ovary,Benign neoplasms (210-229),neoplasms
221,Benign neoplasm of other female genital organs,Benign neoplasms (210-229),neoplasms
222,Benign neoplasm of male genital organs,Benign neoplasms (210-229),neoplasms
223,Benign neoplasm of kidney and other urinary organs,Benign neoplasms (210-229),neoplasms
224,Benign neoplasm of eye,Benign neoplasms (210-229),neoplasms
225,Benign neoplasm of brain and other parts of nervous system,Benign neoplasms (210-229),neoplasms
226,Benign neoplasm of thyroid gland,Benign neoplasms (210-229),neoplasms
227,Benign neoplasm of other endocrine glands and related structures,Benign neoplasms (210-229),neoplasms
228,"Hemangioma and lymphangioma, any site",Benign neoplasms (210-229),neoplasms
229,Benign neoplasm of other and unspecified sites,Benign neoplasms (210-229),neoplasms
230,Carcinoma in situ of digestive organs,Carcinoma in situ (230-234),neoplasms
231,Carcinoma in situ of respiratory system,Carcinoma in situ (230-234),neoplasms
232,Carcinoma in situ of skin,Carcinoma in situ (230-234),neoplasms
233,Carcinoma in situ of breast and genitourinary system,Carcinoma in situ (230-234),neoplasms
234,Carcinoma in situ of other and unspecified sites,Carcinoma in situ (230-234),neoplasms
235,Neoplasm of uncertain behavior of digestive and respiratory systems,Neoplasms of uncertain behavior (235-238),neoplasms
236,Neoplasm of uncertain behavior of genitourinary organs,Neoplasms of uncertain behavior (235-238),neoplasms
237,Neoplasm of uncertain behavior of endocrine glands and nervous system,Neoplasms of uncertain behavior (235-238),neoplasms
238,Neoplasm of uncertain behavior of other and unspecified sites and tissues,Neoplasms of uncertain behavior (235-238),neoplasms
239,Neoplasm of unspecified nature,Neoplasms of unspecified nature (239),neoplasms
240,Simple and unspecified goiter,Disorders of thyroid gland (240-246),"endocrine, nutritional and metabolic diseases, and immunity disorders"
241,Nontoxic nodular goiter,Disorders of thyroid gland (240-246),"endocrine, nutritional and metabolic diseases, and immunity disorders"
242,Thyrotoxicosis with or without goiter,Disorders of thyroid gland (240-246),"endocrine, nutritional and metabolic diseases, and immunity disorders"
243,Congenital hypothyroidism,Disorders of thyroid gland (240-246),"endocrine, nutritional and metabolic diseases, and immunity disorders"
244,Acquired hypothyroidism,Disorders of thyroid gland (240-246),"endocrine, nutritional and metabolic diseases, and immunity disorders"
245,Thyroiditis,Disorders of thyroid gland (240-246),"endocrine, nutritional and metabolic diseases, and immunity disorders"
246,Other disorders of thyroid,Disorders of thyroid gland (240-246),"endocrine, nutritional and metabolic diseases, and immunity disorders"
249,Secondary diabetes mellitus,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
250,Diabetes mellitus,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
251,Other disorders of pancreatic internal secretion,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
252,Disorders of parathyroid gland,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
253,Disorders of the pituitary gland and its hypothalamic control,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
254,Diseases of thymus gland,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
255,Disorders of adrenal glands,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
256,Ovarian dysfunction,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
257,Testicular dysfunction,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
258,Polyglandular dysfunction and related disorders,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
259,Other endocrine disorders,Diseases of other endocrine glands (249-259),"endocrine, nutritional and metabolic diseases, and immunity disorders"
260,Kwashiorkor,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
261,Nutritional marasmus,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
262,Other severe protein-calorie malnutrition,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
263,Other and unspecified protein-calorie malnutrition,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
264,Vitamin A deficiency,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
265,Thiamine and niacin deficiency states,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
266,Deficiency of B-complex components,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
267,Ascorbic acid deficiency,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
268,Vitamin D deficiency,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
269,Other nutritional deficiencies,Nutritional deficiencies (260-269),"endocrine, nutritional and metabolic diseases, and immunity disorders"
270,Disorders of amino-acid transport and metabolism,Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
271,Disorders of carbohydrate transport and metabolism,Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
272,Disorders of lipoid metabolism,Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
273,Disorders of plasma protein metabolism,Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
274,Gout,Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
275,Disorders of mineral metabolism,Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
276,"Disorders of fluid, electrolyte, and acid-base balance",Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
277,Other and unspecified disorders of metabolism,Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
278,Obesity and other hyperalimentation,Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
279,Disorders involving the immune mechanism,Other metabolic disorders and immunity disorders (270-279),"endocrine, nutritional and metabolic diseases, and immunity disorders"
280,Iron deficiency anemias,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
281,Other deficiency anemias,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
282,Hereditary hemolytic anemias,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
283,Acquired hemolytic anemias,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
284,Aplastic anemia,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
285,Other and unspecified anemias,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
286,Coagulation defects,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
287,Purpura and other hemorrhagic conditions,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
288,Diseases of white blood cells,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
289,Other diseases of blood and blood-forming organs,Diseases of the blood and blood-forming organs (280-289),diseases of blood and blood-forming organs
290,Senile and presenile organic psychotic conditions,Organic psychotic conditions (290-294),mental disorders
291,Alcoholic psychoses,Organic psychotic conditions (290-294),mental disorders
292,Drug psychoses,Organic psychotic conditions (290-294),mental disorders
293,Transient organic psychotic conditions,Organic psychotic conditions (290-294),mental disorders
294,Other organic psychotic conditions (chronic),Organic psychotic conditions (290-294),mental disorders
295,Schizophrenic psychoses,Other psychoses (295-299),mental disorders
296,Affective psychoses,Other psychoses (295-299),mental disorders
297,Paranoid states,Other psychoses (295-299),mental disorders
298,Other nonorganic psychoses,Other psychoses (295-299),mental disorders
299,Psychoses with origin specific to childhood,Other psychoses (295-299),mental disorders
300,Neurotic disorders,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
301,Personality disorders,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
302,Sexual deviations and disorders,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
303,Alcohol dependence syndrome,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
304,Drug dependence,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
305,Nondependent abuse of drugs,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
306,Physiological malfunction arising from mental factors,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
307,"Special symptoms or syndromes, not elsewhere classified","Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
308,Acute reaction to stress,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
309,Adjustment reaction,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
310,Specific nonpsychotic mental disorders following organic brain damage,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
311,"Depressive disorder, not elsewhere classified","Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
312,"Disturbance of conduct, not elsewhere classified","Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
313,Disturbance of emotions specific to childhood and adolescence,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
314,Hyperkinetic syndrome of childhood,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
315,Specific delays in development,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders (300-316)",mental disorders
