cortellis_condition,icd9,icd9_category,icd9_sub_chapter,icd9_chapter,malignant_not_specified
bacterial infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
clostridium tetani infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
enterobacter infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
enterococcus faecium infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
escherichia coli infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
gram negative bacterium infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
gram positive bacterium infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
haemophilus influenzae infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
helicobacter pylori infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
streptococcus group b infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
legionella infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
mycoplasma infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
pseudomonas aeruginosa infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
staphylococcus aureus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
staphylococcus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
streptococcus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
campylobacter infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
proteus mirabilis infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bacterial skin infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
enterobacteriaceae infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
hemolytic streptococcus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
helicobacter infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
klebsiella infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
esophageal function disorder,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
haemophilus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
mrsa infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bacteroides infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bacteroides fragilis infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bacillus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
staphylococceae infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
streptococcaceae infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
citrobacter infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
morganella infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
proteus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
moraxella infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
pseudomonas infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
beta-hemolytic streptococcus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
streptococcus pyogenes infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
streptococcus agalactiae infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
enterococcus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
enterococcus faecalis infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
dacryocystitis,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bifidobacterium infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
haemophilus parainfluenzae infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
morganella morganii infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bacteroides thetaiotaomicron infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
enterobacter cloacae infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
propionibacterium infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
fusobacterium infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
staphylococcus epidermidis infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
viridans group streptococcus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
peptostreptococcus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bacteroides uniformis infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
staphylococcus saprophyticus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
micrococcus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
streptococcus mitis infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
clostridium perfringens infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bacteroides vulgatus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
streptococcus intermedius infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
ureaplasma urealyticum infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
haemophilus aegyptus infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
acinetobacter baumanii infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
bacteroides caccae infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
propionibacterium acnes infection,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
hematopoietic stem cell transplantation,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases,0
acquired immune deficiency syndrome,042,Human immunodeficiency virus [HIV] disease,Human Immunodeficiency Virus (Hiv) Infection,Infectious And Parasitic Diseases,0
aids related complex,042,Human immunodeficiency virus [HIV] disease,Human Immunodeficiency Virus (Hiv) Infection,Infectious And Parasitic Diseases,0
hiv infection,042,Human immunodeficiency virus [HIV] disease,Human Immunodeficiency Virus (Hiv) Infection,Infectious And Parasitic Diseases,0
pneumocystis carinii infection,042,Human immunodeficiency virus [HIV] disease,Human Immunodeficiency Virus (Hiv) Infection,Infectious And Parasitic Diseases,0
poliovirus infection,045,Acute poliomyelitis,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases,0
measles virus infection,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases,0
central nervous system disease,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases,0
creutzfeldt jakob disease,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases,0
vaccinia virus infection,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases,0
variant creutzfeldt jakob disease,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases,0
progressive multifocal leukoencephalopathy,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases,0
viral meningitis,047,Meningitis due to enterovirus,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases,0
variola virus infection,050,Smallpox,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
liver transplantation,050,Smallpox,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
vaccination,051,Cowpox and paravaccinia,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
adult varicella zoster virus infection,052,Chickenpox,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
islet cell transplant rejection,052,Chickenpox,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
varicella zoster virus infection,053,Herpes zoster,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
pediatric varicella zoster virus infection,053,Herpes zoster,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
postherpetic neuralgia,053,Herpes zoster,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
herpes simplex virus infection,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
hsv-1 infection,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
hsv-2 infection,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
herpetic keratitis,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
herpetic stromal keratitis,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
genital herpes,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
rubella virus infection,056,Rubella,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
herpesvirus type 6 infection,058,Other human herpesvirus,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
herpesvirus type 8 infection,058,Other human herpesvirus,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
herpesvirus infection,058,Other human herpesvirus,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
pox virus infection,059,Other poxvirus infections,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
monkeypox virus infection,059,Other poxvirus infections,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases,0
yellow fever virus infection,060,Yellow fever,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
dengue virus infection,061,Dengue,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
st louis encephalitis virus infection,062,Mosquito-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
japanese encephalitis virus infection,062,Mosquito-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
western equine encephalitis virus infection,062,Mosquito-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
eastern equine encephalitis virus infection,062,Mosquito-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
tick borne encephalitis virus infection,063,Tick-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
pseudoobstruction,064,Viral encephalitis transmitted by other and unspecified arthropods,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
junin virus infection,065,Arthropod-borne hemorrhagic fever,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
crimean congo fever virus infection,065,Arthropod-borne hemorrhagic fever,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
viral hemorrhagic fever,065,Arthropod-borne hemorrhagic fever,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
flavivirus infection,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
west nile virus infection,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
venezuelan equine encephalitis virus infection,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
rift valley fever,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
phlebovirus infection,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
ross river virus infection,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
chikungunya virus infection,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases,0
hepatitis a virus infection,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
hepatitis b virus infection,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
hepatitis c virus infection,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
hepatitis virus infection,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
hepatitis d virus infection,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
hepatitis e virus infection,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
hepatitis g virus infection,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
rabies virus infection,071,Rabies,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
infectious mononucleosis,075,Infectious mononucleosis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
epstein barr virus infection,075,Infectious mononucleosis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
trachoma,076,Trachoma,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
molluscum contagiosum infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
pestivirus infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
foot and mouth disease virus infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
chorioretinitis,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
mouth disease,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
arenavirus infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
vesicular stomatitis virus infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
marburg virus infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
ebola virus infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
verruca vulgaris,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
condyloma,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
alphavirus infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
filovirus infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
cmv retinitis,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
lassa fever,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
henipavirus infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
enterovirus 71 infection,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
adenovirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
chlamydia trachomatis infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
enterovirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
hiv-1 infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
hiv-2 infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
human t cell leukemia virus 1 infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
human t cell leukemia virus 2 infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
papovavirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
picornavirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
respiratory syncytial virus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
retrovirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
rhinovirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
viral infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
scabies infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
coxsackie virus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
parainfluenza virus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
viral skin infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
leukemia virus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
chlamydia infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
bunyavirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
hantavirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
chlamydiae infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
coronavirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
sars coronavirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
metapneumovirus infection,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases,0
