DrugID|Name|Code
91732|ANTI-MIGRAINE PREPARATIONS|N2C
91732|ANTI-EPILEPTICS|N3A
91731|CENTRAL NERVOUS SYSTEM|N
91723|SYSTEMIC ANTIBACTERIALS|J1
91722|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
91722|DRUGS USED IN DIABETES|A10
91721|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
91721|DRUGS USED IN DIABETES|A10
91721|GLUCAGON|H4B
91714|CARDIOVASCULAR SYSTEM|C
91714|Statins (HMG-CoA reductase inhibitors)|C10A1
91713|ANTIVIRALS FOR SYSTEMIC USE|J5
91712|DRUGS USED IN DIABETES|A10
91712|DPP-IV inhibitor antidiabetics|A10B6
91711|ANTIVIRALS FOR SYSTEMIC USE|J5
91711|ANTITUSSIVES|R5D
91710|ANTIVIRALS FOR SYSTEMIC USE|J5
91703|DRUGS USED IN DIABETES|A10
91699|ANALGESICS|N2
91697|OESTROGENS, EXCLUDING G3A, G3E, G3F|G3C
91697|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
91696|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
91690|SYSTEMIC ANTIHISTAMINES|R6
91688|ANALGESICS|N2
91687|ANTI-ARRHYTHMICS|C1B
91683|ANALGESICS|N2
91682|ANTIVIRALS FOR SYSTEMIC USE|J5
91681|DRUGS USED IN DIABETES|A10
91678|CENTRAL NERVOUS SYSTEM|N
91676|Factors II, VII, IX and X|B2D2
91675|Factor VIII|B2D1
91674|RADIODIAGNOSTIC AGENTS|T1G
91673|ANTIPSYCHOTICS|N5A
91671|RADIODIAGNOSTIC AGENTS|T1G
91670|Biguanide antidiabetics|A10B2
91670|DPP-IV inhibitor antidiabetics|A10B6
91669|VACCINES|J7
91666|RADIODIAGNOSTIC AGENTS|T1G
91661|RADIODIAGNOSTIC AGENTS|T1G
91660|SYSTEMIC ANTIBACTERIALS|J1
91660|CEPHALOSPORINS|J1D
91659|NOOTROPICS|N6D
91658|ANTIHYPERTENSIVES|C2
91658|RESPIRATORY SYSTEM|R
91657|ANTIHYPERTENSIVES|C2
91650|OPHTHALMOLOGICALS|S1
91649|IMMUNOSUPPRESSIVE AGENTS|L4
91645|ANTIHYPERTENSIVES|C2
91640|ANTI-EPILEPTICS|N3A
91633|DRUGS USED IN DIABETES|A10
91632|DRUGS USED IN DIABETES|A10
91630|CARDIOVASCULAR SYSTEM|C
91623|ANTIVIRALS FOR SYSTEMIC USE|J5
91621|ANTIHYPERTENSIVES|C2
91614|Systemic dermatological antifungals|D1A2
91614|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
91613|ANTI-GOUT PREPARATIONS|M4
91612|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
91611|DRUGS USED IN DIABETES|A10
91609|DRUGS USED IN DIABETES|A10
91606|B2-STIMULANTS|R3A
91604|DRUGS USED IN DIABETES|A10
91601|ALKYLATING AGENTS|L1A
91600|PLATELET AGGREGATION INHIBITORS|B1C
91600|GP IIb/IIIa (glycoprotein) antagonist platelet aggregation inhibitors|B1C3
91598|IMMUNOSUPPRESSIVE AGENTS|L4
91596|ANTIPSYCHOTICS|N5A
91595|ANTIPSYCHOTICS|N5A
91592|IMMUNOSUPPRESSIVE AGENTS|L4
91588|ANALGESICS|N2
91587|SYSTEMIC ANTIBACTERIALS|J1
91586|Non-nucleoside reverse transcriptase inhibitors|J5C3
91585|ANTIVIRALS FOR SYSTEMIC USE|J5
91578|ANTI-EPILEPTICS|N3
91578|TRANQUILLISERS|N5C
91577|NOOTROPICS|N6D
91576|CHOLESTEROL AND TRIGLYCERIDE REDUCTION PREPARATIONS|C10A
91576|Statins (HMG-CoA reductase inhibitors)|C10A1
91573|DRUGS USED IN DIABETES|A10
91571|ANALGESICS|N2
91567|DRUGS USED IN DIABETES|A10
91563|ANTIVIRALS FOR SYSTEMIC USE|J5
91562|ANTIVIRALS FOR SYSTEMIC USE|J5
91561|ANTIVIRALS FOR SYSTEMIC USE|J5
91558|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
91552|CENTRAL NERVOUS SYSTEM|N
91551|CENTRAL NERVOUS SYSTEM|N
91549|TRANQUILLISERS|N5C
91548|IMMUNOSUPPRESSIVE AGENTS|L4
91547|CARDIOVASCULAR SYSTEM|C
91545|PLATELET AGGREGATION INHIBITORS|B1C
91541|IMMUNOSTIMULATING AGENTS|L3
91540|IMMUNOSTIMULATING AGENTS|L3
91539|SYSTEMIC ANTIBACTERIALS|J1
91538|SYSTEMIC ANTIBACTERIALS|J1
91537|PARASITOLOGY|P
91533|SYSTEMIC ANTIBACTERIALS|J1
91528|ANTIVIRALS FOR SYSTEMIC USE|J5
91527|ANTIVIRALS FOR SYSTEMIC USE|J5
91526|PLATELET AGGREGATION INHIBITORS|B1C
91526|ANTIHYPERTENSIVES|C2
91525|SYSTEMIC ANTIBACTERIALS|J1
91514|HYPNOTICS/SEDATIVES|N5B
91512|RADIODIAGNOSTIC AGENTS|T1G
91511|WOUND HEALING AGENTS|D3
91497|ANTIPSYCHOTICS|N5A
91496|CARDIOVASCULAR SYSTEM|C
91496|ANTIHYPERTENSIVES|C2
91496|CHOLESTEROL AND TRIGLYCERIDE REDUCTION PREPARATIONS|C10A
91493|NOOTROPICS|N6D
91492|NOOTROPICS|N6D
91490|Coxibs|M1A3
91490|OPHTHALMOLOGICALS|S1
91488|Anti-Alzheimer products, cholinesterase inhibitors|N7D1
91488|OPHTHALMOLOGICALS|S1
91486|ANALGESICS|N2
91485|IMMUNOSUPPRESSIVE AGENTS|L4
91484|IMMUNOSUPPRESSIVE AGENTS|L4
91483|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
91477|ANAESTHETICS|N1
91470|Ocular antineovascularisation products|S1P
91469|ANTIVIRALS FOR SYSTEMIC USE|J5
91464|ALKYLATING AGENTS|L1A
91462|ALKYLATING AGENTS|L1A
91461|SYSTEMIC ANTIBACTERIALS|J1
91461|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
91461|ANALGESICS|N2
91460|HUMAN INSULINS AND ANALOGUES|A10C
91460|Human insulins and analogues, intermediate-acting|A10C2
91459|DIRECT THROMBIN INHIBITORS|B1E
91458|ANTI-GOUT PREPARATIONS|M4
91455|IMMUNOSUPPRESSIVE AGENTS|L4
91450|SYSTEMIC ANTIBACTERIALS|J1
91449|SYSTEMIC ANTIBACTERIALS|J1
91446|ANALGESICS|N2
91442|IMMUNOSTIMULATING AGENTS|L3
91441|ANTI-EPILEPTICS|N3
91441|ANTIPSYCHOTICS|N5A
91437|ANTIHYPERTENSIVES|C2
91436|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
91435|ANTIHYPERTENSIVES|C2
91432|ANTIHYPERTENSIVES|C2
91427|CARDIOVASCULAR SYSTEM|C
91426|CARDIOVASCULAR SYSTEM|C
91425|CARDIOVASCULAR SYSTEM|C
91424|OPHTHALMOLOGICALS|S1
91423|OPHTHALMOLOGICALS|S1
91421|SYSTEMIC ANTIBACTERIALS|J1
91420|OPHTHALMOLOGICALS|S1
91415|SYSTEMIC ANTIBACTERIALS|J1
91407|ANTIVIRALS FOR SYSTEMIC USE|J5
91402|IMMUNOSUPPRESSIVE AGENTS|L4
91401|DRUGS USED IN DIABETES|A10
91396|ANTIVIRALS FOR SYSTEMIC USE|J5
91396|ANTITUSSIVES|R5D
91394|ANTIVIRALS FOR SYSTEMIC USE|J5
91392|ALKYLATING AGENTS|L1A
91390|ANTIVIRALS FOR SYSTEMIC USE|J5
91390|ANTITUSSIVES|R5D
91388|CEPHALOSPORINS|J1D
91387|ANTIVIRALS FOR SYSTEMIC USE|J5
91379|ANALGESICS|N2
91378|ANALGESICS|N2
91364|WOUND HEALING AGENTS|D3
91363|WOUND HEALING AGENTS|D3
91361|RADIODIAGNOSTIC AGENTS|T1G
91359|ANTIVIRALS FOR SYSTEMIC USE|J5
91349|ANTIVIRALS FOR SYSTEMIC USE|J5
91348|ANALGESICS|N2
91342|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
91341|OPHTHALMOLOGICALS|S1
91339|ANTIPSYCHOTICS|N5A
91336|Topical dermatological antifungals|D1A1
91336|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
91333|ANTIPSYCHOTICS|N5A
91331|CHOLESTEROL AND TRIGLYCERIDE REDUCTION PREPARATIONS|C10A
91330|ANTIHYPERTENSIVES|C2
91330|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
91330|Statins (HMG-CoA reductase inhibitors)|C10A1
91316|ANTIVIRALS FOR SYSTEMIC USE|J5
91315|SYSTEMIC ANTIBACTERIALS|J1
91313|SYSTEMIC ANTIBACTERIALS|J1
91311|ANALGESICS|N2
91307|DRUGS USED IN DIABETES|A10
91302|ANTI-EPILEPTICS|N3A
91297|SYSTEMIC ANTIBACTERIALS|J1
91296|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
91294|ANALGESICS|N2
91293|CARDIOVASCULAR SYSTEM|C
91286|MIOTICS AND ANTIGLAUCOMA PREPARATIONS|S1E
91285|PARASITOLOGY|P
91285|ANTI-MALARIALS|P1D
91284|PARASITOLOGY|P
91283|ANTIVIRALS FOR SYSTEMIC USE|J5
91282|SYSTEMIC ANTIBACTERIALS|J1
91281|ANTIVIRALS FOR SYSTEMIC USE|J5
91276|DRUGS USED IN DIABETES|A10
91276|HUMAN INSULINS AND ANALOGUES|A10C
91276|Human insulins and analogues, intermediate-acting|A10C2
91275|ANTIVIRALS FOR SYSTEMIC USE|J5
91274|ANTIVIRALS FOR SYSTEMIC USE|J5
91273|ANTIHYPERTENSIVES|C2
91261|WOUND HEALING AGENTS|D3
91258|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
91255|ANAESTHETICS, LOCAL|N1B
91255|ANALGESICS|N2
91250|DRUGS USED IN DIABETES|A10
91250|HUMAN INSULINS AND ANALOGUES|A10C
91250|Human insulins and analogues, intermediate-acting|A10C2
91248|OPHTHALMOLOGICALS|S1
91234|IMMUNOSTIMULATING AGENTS|L3
91233|ANTIVIRALS FOR SYSTEMIC USE|J5
91229|NOOTROPICS|N6D
91223|SYSTEMIC ANTIBACTERIALS|J1
91222|SYSTEMIC ANTIBACTERIALS|J1
91219|IMMUNOSTIMULATING AGENTS|L3
91218|SYSTEMIC ANTIBACTERIALS|J1
91218|IMMUNOSTIMULATING AGENTS|L3
91214|ANTIPSYCHOTICS|N5A
91212|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
91212|DRUGS USED IN DIABETES|A10
91211|ANTIHYPERTENSIVES|C2
91210|TRANQUILLISERS|N5C
91210|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
91197|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
91197|ANTIVIRALS FOR SYSTEMIC USE|J5
91197|Non-nucleoside reverse transcriptase inhibitors|J5C3
91196|ANTIVIRALS FOR SYSTEMIC USE|J5
91192|CHOLESTEROL AND TRIGLYCERIDE REDUCTION PREPARATIONS|C10A
91188|ANTIVIRALS FOR SYSTEMIC USE|J5
91187|ANTIVIRALS FOR SYSTEMIC USE|J5
91175|Factor VIII|B2D1
91173|ANALGESICS|N2
91172|Ocular antineovascularisation products|S1P
91171|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
91170|ANTIVIRALS FOR SYSTEMIC USE|J5
91169|ANTIVIRALS FOR SYSTEMIC USE|J5
91168|ANTIVIRALS FOR SYSTEMIC USE|J5
91167|ALKYLATING AGENTS|L1A
91166|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
91166|SSRI antidepressants|N6A4
91165|ANTIVIRALS FOR SYSTEMIC USE|J5
91164|ANTIVIRALS FOR SYSTEMIC USE|J5
91163|SYSTEMIC ANTIBACTERIALS|J1
91162|ANTIVIRALS FOR SYSTEMIC USE|J5
91160|MUSCULO-SKELETAL SYSTEM|M
91155|Factor VIII|B2D1
91154|ANTIVIRALS FOR SYSTEMIC USE|J5
91153|NOOTROPICS|N6D
91150|PLATELET AGGREGATION INHIBITORS|B1C
91142|SYSTEMIC ANTIBACTERIALS|J1
91141|CARDIOVASCULAR SYSTEM|C
91139|WOUND HEALING AGENTS|D3
91136|ANTIVIRALS FOR SYSTEMIC USE|J5
91135|NOOTROPICS|N6D
91129|ANTIVIRALS FOR SYSTEMIC USE|J5
91128|ANTIVIRALS FOR SYSTEMIC USE|J5
91127|ANTIVIRALS FOR SYSTEMIC USE|J5
91125|ANTIVIRALS FOR SYSTEMIC USE|J5
91124|ANALGESICS|N2
91122|DRUGS USED IN DIABETES|A10
91121|ANTIVIRALS FOR SYSTEMIC USE|J5
91119|OPHTHALMOLOGICALS|S1
91118|Coxibs|M1A3
91118|ANTI-GOUT PREPARATIONS|M4
91118|ANALGESICS|N2
91117|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
91116|IMMUNOSTIMULATING AGENTS|L3
91114|ANTIVIRALS FOR SYSTEMIC USE|J5
91111|OESTROGENS, EXCLUDING G3A, G3E, G3F|G3C
91105|ANTI-GOUT PREPARATIONS|M4
91101|ANTIVIRALS FOR SYSTEMIC USE|J5
91099|ANTIHYPERTENSIVES|C2
91099|DIURETICS|C3
91099|CALCIUM ANTAGONISTS|C8
91097|DPP-IV inhibitor antidiabetics|A10B6
91097|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
91097|Statins (HMG-CoA reductase inhibitors)|C10A1
91092|DRUGS USED IN DIABETES|A10
91092|HUMAN INSULINS AND ANALOGUES|A10C
91092|Human insulins and analogues, intermediate-acting|A10C2
91072|CARDIOVASCULAR SYSTEM|C
91070|ANTIVIRALS FOR SYSTEMIC USE|J5
91069|ANTIVIRALS FOR SYSTEMIC USE|J5
91062|Inhibitors of the Kallikrein-kinin-system|B2C2
91062|OPHTHALMOLOGICALS|S1
91057|SYSTEMIC ANTIBACTERIALS|J1
91054|ANTIVIRALS FOR SYSTEMIC USE|J5
91044|ANTI-EPILEPTICS|N3A
91037|OPHTHALMOLOGICALS|S1
91036|SYSTEMIC ANTIBACTERIALS|J1
91035|SYSTEMIC ANTIBACTERIALS|J1
91034|SYSTEMIC ANTIBACTERIALS|J1
91033|SYSTEMIC ANTIBACTERIALS|J1
91032|ANTIVIRALS FOR SYSTEMIC USE|J5
91030|ANTIVIRALS FOR SYSTEMIC USE|J5
91027|RESPIRATORY SYSTEM|R
91024|ANALGESICS|N2
91023|NOOTROPICS|N6D
91017|ANTIPSYCHOTICS|N5A
91016|ANTIPSYCHOTICS|N5A
90998|VACCINES|J7
90997|ANTIVIRALS FOR SYSTEMIC USE|J5
90992|NOOTROPICS|N6D
90991|TRANQUILLISERS|N5C
90991|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
90990|ANTIVIRALS FOR SYSTEMIC USE|J5
90986|DERMATOLOGICALS|D
90981|DERMATOLOGICALS|D
90978|DERMATOLOGICALS|D
90977|DERMATOLOGICALS|D
90974|ANTIVIRALS FOR SYSTEMIC USE|J5
90972|DIRECT THROMBIN INHIBITORS|B1E
90970|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
90969|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
90967|DIAGNOSTIC AGENTS|T
90955|ANTIHYPERTENSIVES|C2
90955|ANALGESICS|N2
90952|SYSTEMIC ANTIBACTERIALS|J1
90947|SYSTEMIC ANTIBACTERIALS|J1
90944|SYSTEMIC ANTIBACTERIALS|J1
90941|Factor VIII|B2D1
90933|ANTIVIRALS FOR SYSTEMIC USE|J5
90917|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
90916|HYPOLIPIDAEMICS/ANTI-ATHEROMA PREPARATIONS|C10
90915|RESPIRATORY SYSTEM|R
90914|CARDIOVASCULAR SYSTEM|C
90911|ANALGESICS|N2
90910|ANTIULCERANTS|A2B
90908|RESPIRATORY SYSTEM|R
90905|Ocular antineovascularisation products|S1P
90902|OPHTHALMOLOGICALS|S1
90897|SYSTEMIC ANTIBACTERIALS|J1
90895|OESTROGENS, EXCLUDING G3A, G3E, G3F|G3C
90888|DERMATOLOGICALS|D
90868|ANTI-EPILEPTICS|N3
90866|ANALGESICS|N2
90864|ANTIVIRALS FOR SYSTEMIC USE|J5
90861|AMINOGLYCOSIDES|J1K
90856|IMMUNOSUPPRESSIVE AGENTS|L4
90852|ANTIVIRALS FOR SYSTEMIC USE|J5
90848|ANTI-EPILEPTICS|N3A
90847|ALKYLATING AGENTS|L1A
90846|SYSTEMIC ANTIBACTERIALS|J1
90842|ANTIPSYCHOTICS|N5A
90842|TRANQUILLISERS|N5C
90842|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
90841|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
90830|ANALGESICS|N2
90827|ANTIVIRALS FOR SYSTEMIC USE|J5
90826|ANTIPSYCHOTICS|N5A
90825|ANTIPSYCHOTICS|N5A
90820|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
90820|DRUGS USED IN DIABETES|A10
90815|ANTIVIRALS FOR SYSTEMIC USE|J5
90797|ANTIVIRALS FOR SYSTEMIC USE|J5
90789|SYSTEMIC ANTIBACTERIALS|J1
90787|ANAESTHETICS|N1
90787|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
90784|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
90784|DRUGS USED IN DIABETES|A10
90766|ANTIHYPERTENSIVES|C2
90765|ANTIVIRALS FOR SYSTEMIC USE|J5
90761|ANTIVIRALS FOR SYSTEMIC USE|J5
90760|DRUGS USED IN DIABETES|A10
90758|DRUGS USED IN DIABETES|A10
90757|DRUGS USED IN DIABETES|A10
90750|SYSTEMIC ANTIBACTERIALS|J1
90742|CARDIOVASCULAR SYSTEM|C
90741|CARDIOVASCULAR SYSTEM|C
90740|ANTIVIRALS FOR SYSTEMIC USE|J5
90739|ANTIVIRALS FOR SYSTEMIC USE|J5
90738|ANTIVIRALS FOR SYSTEMIC USE|J5
90732|DRUGS USED IN DIABETES|A10
90732|HUMAN INSULINS AND ANALOGUES|A10C
90732|Human insulins and analogues, intermediate-acting|A10C2
90731|CARDIOVASCULAR SYSTEM|C
90728|DRUGS USED IN DIABETES|A10
90728|HUMAN INSULINS AND ANALOGUES|A10C
90728|Human insulins and analogues, intermediate-acting|A10C2
90725|Ocular antineovascularisation products|S1P
90722|CARDIOVASCULAR SYSTEM|C
90718|CENTRAL NERVOUS SYSTEM|N
90715|ANAESTHETICS|N1
90715|TRANQUILLISERS|N5C
90714|ANTI-EPILEPTICS|N3A
90711|ANTIVIRALS FOR SYSTEMIC USE|J5
90710|RADIODIAGNOSTIC AGENTS|T1G
90707|ANTI-MALARIALS|P1D
90706|ANTIPSYCHOTICS|N5A
90704|ANALGESICS|N2
90703|ANALGESICS|N2
90702|ANALGESICS|N2
90700|ANALGESICS|N2
90696|ANALGESICS|N2
90692|CARDIOVASCULAR SYSTEM|C
90690|IMMUNOSUPPRESSIVE AGENTS|L4
90688|SYSTEMIC ANTIBACTERIALS|J1
90687|SYSTEMIC ANTIBACTERIALS|J1
90686|NOOTROPICS|N6D
90680|TOPICAL ANTIPSORIASIS PRODUCTS|D5A
90676|ANTI-MIGRAINE PREPARATIONS|N2C
90663|PARASITOLOGY|P
90663|ANTI-MALARIALS|P1D
90662|PARASITOLOGY|P
90660|ANALGESICS|N2
90659|ANTI-EPILEPTICS|N3A
90652|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
90651|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
90650|SYSTEMIC ANTIBACTERIALS|J1
90648|PARASITOLOGY|P
90643|ANTIVIRALS FOR SYSTEMIC USE|J5
90621|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
90621|PARASITOLOGY|P
90620|SYSTEMIC AGENTS FOR FUNGAL INFECTIONS|J2
90620|PARASITOLOGY|P
90588|SYSTEMIC ANTIBACTERIALS|J1
90576|DRUGS USED IN DIABETES|A10
90562|ANTIVIRALS FOR SYSTEMIC USE|J5
90562|Nucleoside and nucleotide reverse transcriptase inhibitors|J5C1
90560|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
90559|PROGESTOGENS, EXCLUDING G3A, G3F|G3D
90558|OPHTHALMOLOGICALS|S1
90557|OPHTHALMOLOGICALS|S1
90557|Ocular antineovascularisation products|S1P
90554|OPHTHALMOLOGICALS|S1
90551|ANALGESICS|N2
90549|ANTI-EPILEPTICS|N3
90545|PARASITOLOGY|P
90543|ALKYLATING AGENTS|L1A
90542|OPHTHALMOLOGICALS|S1
90540|ANTIPSYCHOTICS|N5A
90539|ANTIPSYCHOTICS|N5A
90533|Coxibs|M1A3
90533|ANALGESICS|N2
90532|Coxibs|M1A3
90532|ANALGESICS|N2
90531|ANTIEMETICS AND ANTINAUSEANTS|A4
90525|ANTIHYPERTENSIVES|C2
90525|Erectile dysfunction products|G4B3
90524|ANALGESICS|N2
90519|OPHTHALMOLOGICALS|S1
90517|ANTIVIRALS FOR SYSTEMIC USE|J5
90515|ANTIMETABOLITES|L1B
90514|DIRECT THROMBIN INHIBITORS|B1E
90510|ANTIEMETICS AND ANTINAUSEANTS|A4
90503|ANTIVIRALS FOR SYSTEMIC USE|J5
90502|Factor VIII|B2D1
90486|ANTIVIRALS FOR SYSTEMIC USE|J5
90484|ALKYLATING AGENTS|L1A
90473|ANTIOBESITY PREPARATIONS, EXCLUDING DIETETICS|A8
90471|ANTIVIRALS FOR SYSTEMIC USE|J5
90470|ANTIVIRALS FOR SYSTEMIC USE|J5
90464|SYSTEMIC ANTIBACTERIALS|J1
90459|MUSCLE RELAXANTS, PERIPHERALLY ACTING|M3A
90458|MUSCLE RELAXANTS, PERIPHERALLY ACTING|M3A
90457|IMMUNOSUPPRESSIVE AGENTS|L4
90456|IMMUNOSUPPRESSIVE AGENTS|L4
90455|ANAESTHETICS, LOCAL|N1B
90455|ANALGESICS|N2
90434|DRUGS USED IN DIABETES|A10
90434|ANALGESICS|N2
90432|SYSTEMIC ANTIBACTERIALS|J1
90428|Coxibs|M1A3
90428|ANALGESICS|N2
90426|ANTIVIRALS FOR SYSTEMIC USE|J5
90423|ANTIVIRALS FOR SYSTEMIC USE|J5
90422|ANTIVIRALS FOR SYSTEMIC USE|J5
90421|ANTI-EPILEPTICS|N3A
90419|ANTIMETABOLITES|L1B
90418|CENTRAL NERVOUS SYSTEM|N
90417|PARASITOLOGY|P
90416|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
90416|SSRI antidepressants|N6A4
90415|ANTI-DEPRESSANTS AND MOOD STABILISERS|N6A
90406|IMMUNOSUPPRESSIVE AGENTS|L4
90404|ANTIVIRALS FOR SYSTEMIC USE|J5
90403|ANTI-ACNE PREPARATIONS|D10
90403|ORAL ANTI-ACNE PREPARATIONS|D10B
90396|IMMUNOSTIMULATING AGENTS|L3
90394|SYSTEMIC ANTIBACTERIALS|J1
90393|ANALGESICS|N2
90392|ANTI-EPILEPTICS|N3A
90392|NOOTROPICS|N6D
90391|ANTI-EPILEPTICS|N3A
