indication,icd9,ccs,ccs_label,nccs,cancer
staphylococcus saprophyticus infection,41,3,Bacterial infection; unspecified site,1,0
micrococcus infection,41,3,Bacterial infection; unspecified site,1,0
streptococcus mitis infection,41,3,Bacterial infection; unspecified site,1,0
clostridium perfringens infection,41,3,Bacterial infection; unspecified site,1,0
bacteroides vulgatus infection,41,3,Bacterial infection; unspecified site,1,0
streptococcus intermedius infection,41,3,Bacterial infection; unspecified site,1,0
ureaplasma urealyticum infection,41,3,Bacterial infection; unspecified site,1,0
haemophilus aegyptus infection,41,3,Bacterial infection; unspecified site,1,0
acinetobacter baumanii infection,41,3,Bacterial infection; unspecified site,1,0
bacteroides caccae infection,41,3,Bacterial infection; unspecified site,1,0
propionibacterium acnes infection,41,3,Bacterial infection; unspecified site,1,0
hematopoietic stem cell transplantation,41,3,Bacterial infection; unspecified site,1,0
chorea,392,3,Bacterial infection; unspecified site,2,0
trichophyton infection,110,4,Mycoses,1,0
epidermophyton infection,110,4,Mycoses,1,0
microsporum infection,110,4,Mycoses,1,0
onychomycosis,110,4,Mycoses,1,0
dermatophytosis,110,4,Mycoses,1,0
tinea capitis,110,4,Mycoses,1,0
tinea corporis,110,4,Mycoses,1,0
tinea cruris,110,4,Mycoses,1,0
tinea pedis,110,4,Mycoses,1,0
dermatomycosis,111,4,Mycoses,1,0
tinea,111,4,Mycoses,1,0
urogenital tract infection,112,4,Mycoses,4,0
candida infection,112,4,Mycoses,4,0
candida krusei infection,112,4,Mycoses,4,0
candida glabrata infection,112,4,Mycoses,4,0
saccharomyces infection,112,4,Mycoses,4,0
mucocutaneous candidiasis,112,4,Mycoses,4,0
histoplasma infection,115,4,Mycoses,5,0
blastomyces infection,116,4,Mycoses,1,0
aspergillus infection,117,4,Mycoses,1,0
cryptococcus infection,117,4,Mycoses,1,0
cryptococcus neoformans infection,117,4,Mycoses,1,0
fungal infection,117,4,Mycoses,1,0
cryptosporidium infection,117,4,Mycoses,1,0
aspergillus fumigatus infection,117,4,Mycoses,1,0
exophiala infection,117,4,Mycoses,1,0
scedosporium infection,117,4,Mycoses,1,0
zygomycete infection,117,4,Mycoses,1,0
mucor infection,117,4,Mycoses,1,0
rhizopus infection,117,4,Mycoses,1,0
absidia infection,117,4,Mycoses,1,0
cryptococcus neoformans meningitis,117,4,Mycoses,1,0
chromoblastomycosis,117,4,Mycoses,1,0
fusarium infection,118,4,Mycoses,1,0
acquired immune deficiency syndrome,42,5,HIV infection,1,0
aids related complex,42,5,HIV infection,1,0
hiv infection,42,5,HIV infection,1,0
pneumocystis carinii infection,42,5,HIV infection,1,0
hiv-1 infection,42,5,HIV infection,1,0
hiv-2 infection,42,5,HIV infection,1,0
hepatitis a virus infection,70,6,Hepatitis,1,0
hepatitis b virus infection,70,6,Hepatitis,1,0
hepatitis c virus infection,70,6,Hepatitis,1,0
hepatitis virus infection,70,6,Hepatitis,1,0
hepatitis d virus infection,70,6,Hepatitis,1,0
hepatitis e virus infection,70,6,Hepatitis,1,0
hepatitis g virus infection,70,6,Hepatitis,1,0
variola virus infection,50,7,Viral infection,1,0
liver transplantation,50,7,Viral infection,1,0
vaccination,51,7,Viral infection,1,0
adult varicella zoster virus infection,52,7,Viral infection,3,0
islet cell transplant rejection,52,7,Viral infection,3,0
varicella zoster virus infection,53,7,Viral infection,3,0
pediatric varicella zoster virus infection,53,7,Viral infection,3,0
postherpetic neuralgia,53,7,Viral infection,3,0
herpes simplex virus infection,54,7,Viral infection,5,0
hsv-1 infection,54,7,Viral infection,5,0
hsv-2 infection,54,7,Viral infection,5,0
herpetic keratitis,54,7,Viral infection,5,0
herpetic stromal keratitis,54,7,Viral infection,5,0
genital herpes,54,7,Viral infection,5,0
rubella virus infection,56,7,Viral infection,3,0
herpesvirus type 6 infection,58,7,Viral infection,2,0
herpesvirus type 8 infection,58,7,Viral infection,2,0
herpesvirus infection,58,7,Viral infection,2,0
pox virus infection,59,7,Viral infection,1,0
monkeypox virus infection,59,7,Viral infection,1,0
yellow fever virus infection,60,7,Viral infection,1,0
dengue virus infection,61,7,Viral infection,1,0
junin virus infection,65,7,Viral infection,1,0
crimean congo fever virus infection,65,7,Viral infection,1,0
viral hemorrhagic fever,65,7,Viral infection,1,0
flavivirus infection,66,7,Viral infection,2,0
west nile virus infection,66,7,Viral infection,2,0
venezuelan equine encephalitis virus infection,66,7,Viral infection,2,0
rift valley fever,66,7,Viral infection,2,0
phlebovirus infection,66,7,Viral infection,2,0
ross river virus infection,66,7,Viral infection,2,0
chikungunya virus infection,66,7,Viral infection,2,0
rabies virus infection,71,7,Viral infection,1,0
infectious mononucleosis,75,7,Viral infection,1,0
epstein barr virus infection,75,7,Viral infection,1,0
molluscum contagiosum infection,78,7,Viral infection,1,0
pestivirus infection,78,7,Viral infection,1,0
foot and mouth disease virus infection,78,7,Viral infection,1,0
chorioretinitis,78,7,Viral infection,1,0
mouth disease,78,7,Viral infection,1,0
arenavirus infection,78,7,Viral infection,1,0
vesicular stomatitis virus infection,78,7,Viral infection,1,0
marburg virus infection,78,7,Viral infection,1,0
ebola virus infection,78,7,Viral infection,1,0
verruca vulgaris,78,7,Viral infection,1,0
condyloma,78,7,Viral infection,1,0
alphavirus infection,78,7,Viral infection,1,0
filovirus infection,78,7,Viral infection,1,0
cmv retinitis,78,7,Viral infection,1,0
lassa fever,78,7,Viral infection,1,0
henipavirus infection,78,7,Viral infection,1,0
enterovirus 71 infection,78,7,Viral infection,1,0
adenovirus infection,79,7,Viral infection,2,0
chlamydia trachomatis infection,79,7,Viral infection,2,0
enterovirus infection,79,7,Viral infection,2,0
human t cell leukemia virus 1 infection,79,7,Viral infection,2,0
human t cell leukemia virus 2 infection,79,7,Viral infection,2,0
papovavirus infection,79,7,Viral infection,2,0
picornavirus infection,79,7,Viral infection,2,0
respiratory syncytial virus infection,79,7,Viral infection,2,0
retrovirus infection,79,7,Viral infection,2,0
rhinovirus infection,79,7,Viral infection,2,0
viral infection,79,7,Viral infection,2,0
scabies infection,79,7,Viral infection,2,0
coxsackie virus infection,79,7,Viral infection,2,0
parainfluenza virus infection,79,7,Viral infection,2,0
viral skin infection,79,7,Viral infection,2,0
leukemia virus infection,79,7,Viral infection,2,0
chlamydia infection,79,7,Viral infection,2,0
bunyavirus infection,79,7,Viral infection,2,0
hantavirus infection,79,7,Viral infection,2,0
chlamydiae infection,79,7,Viral infection,2,0
coronavirus infection,79,7,Viral infection,2,0
sars coronavirus infection,79,7,Viral infection,2,0
metapneumovirus infection,79,7,Viral infection,2,0
punta toro virus infection,79,7,Viral infection,2,0
nipah virus infection,79,7,Viral infection,2,0
polyomavirus infection,79,7,Viral infection,2,0
bk virus infection,79,7,Viral infection,2,0
viral eye infection,79,7,Viral infection,2,0
parechovirus infection,79,7,Viral infection,2,0
papillomavirus infection,79,7,Viral infection,2,0
spondylosyndesis,81,8,Other infections; including parasitic,1,0
scrub typhus,81,8,Other infections; including parasitic,1,0
rickettsia infection,83,8,Other infections; including parasitic,2,0
endocarditis,83,8,Other infections; including parasitic,2,0
bartonella infection,83,8,Other infections; including parasitic,2,0
coxiella infection,83,8,Other infections; including parasitic,2,0
q fever,83,8,Other infections; including parasitic,2,0
plasmodium malariae infection,84,8,Other infections; including parasitic,1,0
leishmania tropica infection,85,8,Other infections; including parasitic,1,0
leishmania infection,85,8,Other infections; including parasitic,1,0
leishmania donovani infection,85,8,Other infections; including parasitic,1,0
leishmania braziliensis infection,85,8,Other infections; including parasitic,1,0
trypanosoma cruzi infection,86,8,Other infections; including parasitic,1,0
trypanosomiasis,86,8,Other infections; including parasitic,1,0
trypanosoma brucei infection,86,8,Other infections; including parasitic,1,0
borrelia burgdorferi infection,88,8,Other infections; including parasitic,1,0
thromboembolism,88,8,Other infections; including parasitic,1,0
lyme disease,88,8,Other infections; including parasitic,1,0
babesia infection,88,8,Other infections; including parasitic,1,0
borrelia recurrentis infection,88,8,Other infections; including parasitic,1,0
bartonella bacilliformis infection,88,8,Other infections; including parasitic,1,0
aseptic meningitis,100,8,Other infections; including parasitic,2,0
treponema pallidum infection,102,8,Other infections; including parasitic,1,0
hyperkeratosis,102,8,Other infections; including parasitic,1,0
rhinopharyngitis,102,8,Other infections; including parasitic,1,0
schistosomiasis,120,8,Other infections; including parasitic,1,0
fasciola hepatica infection,121,8,Other infections; including parasitic,1,0
cysticercosis,123,8,Other infections; including parasitic,1,0
filariasis,125,8,Other infections; including parasitic,1,0
onchocerciasis,125,8,Other infections; including parasitic,1,0
hookworm infection,126,8,Other infections; including parasitic,1,0
nematode infection,127,8,Other infections; including parasitic,1,0
helminth infection,128,8,Other infections; including parasitic,1,0
toxoplasma infection,130,8,Other infections; including parasitic,5,0
toxoplasma gondii infection,130,8,Other infections; including parasitic,5,0
louse infestation,132,8,Other infections; including parasitic,1,0
pediculosis capitis infestation,132,8,Other infections; including parasitic,1,0
mite infection,133,8,Other infections; including parasitic,1,0
sarcoidosis,135,8,Other infections; including parasitic,1,0
protozoal infection,136,8,Other infections; including parasitic,2,0
microsporidial infection,136,8,Other infections; including parasitic,2,0
amoeba infection,136,8,Other infections; including parasitic,2,0
infectious disease,136,8,Other infections; including parasitic,2,0
behcets disease,136,8,Other infections; including parasitic,2,0
rhizomucor infection,136,8,Other infections; including parasitic,2,0
tendon disease,95,9,Sexually transmitted infections (not HIV or hepatitis),1,0
neisseria gonorrhoeae infection,98,9,Sexually transmitted infections (not HIV or hepatitis),1,0
neisseria infection,98,9,Sexually transmitted infections (not HIV or hepatitis),1,0
epididymo-orchitis,98,9,Sexually transmitted infections (not HIV or hepatitis),1,0
cervicitis,98,9,Sexually transmitted infections (not HIV or hepatitis),1,0
urethritis,99,9,Sexually transmitted infections (not HIV or hepatitis),1,0
haemophilus ducreyi infection,99,9,Sexually transmitted infections (not HIV or hepatitis),1,0
advanced solid tumor,140,11,Cancer of head and neck,1,1
adenoid tumor,142,11,Cancer of head and neck,1,1
pharynx tumor,146,11,Cancer of head and neck,1,1
larynx tumor,161,11,Cancer of head and neck,1,1
adenocarcinoma,151,13,Cancer of stomach,1,1
metastatic gastrointestinal cancer,151,13,Cancer of stomach,1,1
metastatic liver cancer,151,13,Cancer of stomach,1,1
metastatic renal cancer,151,13,Cancer of stomach,1,1
metastatic prostate cancer,151,13,Cancer of stomach,1,1
metastatic non small cell lung cancer,151,13,Cancer of stomach,1,1
metastatic stomach cancer,151,13,Cancer of stomach,1,1
metastatic esophageal cancer,151,13,Cancer of stomach,1,1
metastatic lung cancer,151,13,Cancer of stomach,1,1
metastatic pancreas cancer,151,13,Cancer of stomach,1,1
metastatic rectal cancer,151,13,Cancer of stomach,1,1
metastatic head and neck cancer,151,13,Cancer of stomach,1,1
metastatic ovary cancer,151,13,Cancer of stomach,1,1
intestine tumor,153,14,Cancer of colon,1,1
colon tumor,153,14,Cancer of colon,1,1
colorectal tumor,153,14,Cancer of colon,1,1
metastatic colorectal cancer,153,14,Cancer of colon,1,1
metastatic colon cancer,153,14,Cancer of colon,1,1
rectal tumor,154,15,Cancer of rectum and anus,1,1
providencia infection,796,15,Cancer of rectum and anus,7,1
fungal respiratory tract infection,796,15,Cancer of rectum and anus,7,1
liver tumor,155,16,Cancer of liver and intrahepatic bile duct,1,1
hepatobiliary system tumor,155,16,Cancer of liver and intrahepatic bile duct,1,1
cholangiocarcinoma,155,16,Cancer of liver and intrahepatic bile duct,1,1
hepatocellular carcinoma,155,16,Cancer of liver and intrahepatic bile duct,1,1
pancreas tumor,157,17,Cancer of pancreas,1,1
pancreatic ductal adenocarcinoma,157,17,Cancer of pancreas,1,1
pancreatic cystadenocarcinoma,157,17,Cancer of pancreas,1,1
large intestine tumor,152,18,Cancer of other GI organs; peritoneum,1,1
biliary cancer,156,18,Cancer of other GI organs; peritoneum,1,1
gallbladder tumor,156,18,Cancer of other GI organs; peritoneum,1,1
lung tumor,162,19,Cancer of bronchus; lung,2,1
small-cell lung cancer,162,19,Cancer of bronchus; lung,2,1
non-small-cell lung cancer,162,19,Cancer of bronchus; lung,2,1
mesothelioma,163,20,Cancer; other respiratory and intrathoracic,1,1
bone tumor,170,21,Cancer of bone and connective tissue,1,1
osteosarcoma,170,21,Cancer of bone and connective tissue,1,1
bone metastases,170,21,Cancer of bone and connective tissue,1,1
giant bone cell tumor,170,21,Cancer of bone and connective tissue,1,1
ewing sarcoma,170,21,Cancer of bone and connective tissue,1,1
chordoma,170,21,Cancer of bone and connective tissue,1,1
sarcoma,171,21,Cancer of bone and connective tissue,1,1
nervous system tumor,171,21,Cancer of bone and connective tissue,1,1
skin tumor,171,21,Cancer of bone and connective tissue,1,1
angiosarcoma,171,21,Cancer of bone and connective tissue,1,1
chondrosarcoma,171,21,Cancer of bone and connective tissue,1,1
fibrosarcoma,171,21,Cancer of bone and connective tissue,1,1
leiomyosarcoma,171,21,Cancer of bone and connective tissue,1,1
liposarcoma,171,21,Cancer of bone and connective tissue,1,1
rhabdomyosarcoma,171,21,Cancer of bone and connective tissue,1,1
stage i melanoma,172,22,Melanomas of skin,1,1
stage iii melanoma,172,22,Melanomas of skin,1,1
stage iv melanoma,172,22,Melanomas of skin,1,1
ocular melanoma,172,22,Melanomas of skin,1,1
melanoma,173,23,Other non-epithelial cancer of skin,1,1
squamous cell carcinoma,173,23,Other non-epithelial cancer of skin,1,1
basal cell carcinoma,173,23,Other non-epithelial cancer of skin,1,1
skin cancer,173,23,Other non-epithelial cancer of skin,1,1
dermatofibrosarcoma,173,23,Other non-epithelial cancer of skin,1,1
metastatic breast cancer,174,24,Cancer of breast,1,1
inflammatory breast cancer,174,24,Cancer of breast,1,1
uterine cervix tumor,180,26,Cancer of cervix,1,1
dna virus infection,795,26,Cancer of cervix,12,1
ovary tumor,183,28,Cancer of other female genital organs,2,1
endometrioid carcinoma,183,28,Cancer of other female genital organs,2,1
fallopian tube tumor,183,28,Cancer of other female genital organs,2,1
fallopian tube cancer,183,28,Cancer of other female genital organs,2,1
ovarian clear cell carcinoma,183,28,Cancer of other female genital organs,2,1
precancer,184,28,Cancer of other female genital organs,1,1
vaginal cancer,184,28,Cancer of other female genital organs,1,1
carcinoma,233,28,Cancer of other female genital organs,8,1
bowen disease,233,28,Cancer of other female genital organs,8,1
prostate tumor,185,29,Cancer of prostate,1,1
female genital tract tumor,185,29,Cancer of prostate,1,1
hormone refractory prostate cancer,185,29,Cancer of prostate,1,1
hormone dependent prostate cancer,185,29,Cancer of prostate,1,1
testis tumor,186,30,Cancer of testis,1,1
seminoma,186,30,Cancer of testis,1,1
germ cell and embryonic cancer,186,30,Cancer of testis,1,1
bladder cancer,188,32,Cancer of bladder,1,1
metastatic bladder cancer,188,32,Cancer of bladder,1,1
renal tumor,189,34,Cancer of other urinary organs,2,1
renal cell carcinoma,189,34,Cancer of other urinary organs,2,1
renal sarcoma,189,34,Cancer of other urinary organs,2,1
nephroblastoma,189,34,Cancer of other urinary organs,2,1
transitional cell carcinoma,189,34,Cancer of other urinary organs,2,1
urethral cancer,189,34,Cancer of other urinary organs,2,1
glioma,191,35,Cancer of brain and nervous system,1,1
glioblastoma,191,35,Cancer of brain and nervous system,1,1
medulloblastoma,191,35,Cancer of brain and nervous system,1,1
gliosarcoma,191,35,Cancer of brain and nervous system,1,1
metastatic brain cancer,191,35,Cancer of brain and nervous system,1,1
spinal cord tumor,192,35,Cancer of brain and nervous system,1,1
astrocytoma,192,35,Cancer of brain and nervous system,1,1
anaplastic astrocytoma,192,35,Cancer of brain and nervous system,1,1
medullary thyroid cancer,193,36,Cancer of thyroid,1,1
papillary thyroid tumor,193,36,Cancer of thyroid,1,1
anaplastic thyroid cancer,193,36,Cancer of thyroid,1,1
hodgkins disease,201,37,Hodgkin`s disease,1,1
t-cell lymphoma,200,38,Non-Hodgkin`s lymphoma,1,1
central nervous system tumor,200,38,Non-Hodgkin`s lymphoma,1,1
burkitts lymphoma,200,38,Non-Hodgkin`s lymphoma,1,1
skin lymphoma,200,38,Non-Hodgkin`s lymphoma,1,1
mantle cell lymphoma,200,38,Non-Hodgkin`s lymphoma,1,1
marginal zone b-cell lymphoma,200,38,Non-Hodgkin`s lymphoma,1,1
anaplastic large cell lymphoma,200,38,Non-Hodgkin`s lymphoma,1,1
lymphoma,202,38,Non-Hodgkin`s lymphoma,3,1
b-cell lymphoma,202,38,Non-Hodgkin`s lymphoma,3,1
non-hodgkin lymphoma,202,38,Non-Hodgkin`s lymphoma,3,1
mycosis fungoides,202,38,Non-Hodgkin`s lymphoma,3,1
shigella boydii infection,202,38,Non-Hodgkin`s lymphoma,3,1
hairy cell leukemia,202,38,Non-Hodgkin`s lymphoma,3,1
follicle center lymphoma,202,38,Non-Hodgkin`s lymphoma,3,1
diffuse large b-cell lymphoma,202,38,Non-Hodgkin`s lymphoma,3,1
peripheral t-cell lymphoma,202,38,Non-Hodgkin`s lymphoma,3,1
cutaneous t-cell lymphoma,202,38,Non-Hodgkin`s lymphoma,3,1
sezary syndrome,202,38,Non-Hodgkin`s lymphoma,3,1
systemic mastocytosis,202,38,Non-Hodgkin`s lymphoma,3,1
lymphoid leukemia,204,39,Leukemias,1,1
acute lymphoblastic leukemia,204,39,Leukemias,1,1
b-cell acute lymphoblastic leukemia,204,39,Leukemias,1,1
t-cell acute lymphoblastic leukemia,204,39,Leukemias,1,1
chronic lymphocytic leukemia,204,39,Leukemias,1,1
adult t-cell lymphoma,204,39,Leukemias,1,1
lymphoblastic leukemia,204,39,Leukemias,1,1
myeloid leukemia,205,39,Leukemias,1,1
acute myelogenous leukemia,205,39,Leukemias,1,1
acute promyelocytic leukemia,205,39,Leukemias,1,1
chronic myelocytic leukemia,205,39,Leukemias,1,1
leukemia,208,39,Leukemias,1,1
acute leukemia,208,39,Leukemias,1,1
chronic leukemia,208,39,Leukemias,1,1
prolymphocytic leukemia,208,39,Leukemias,1,1
t-cell large granular lymphocyte leukemia,208,39,Leukemias,1,1
stem cell transplantation,208,39,Leukemias,1,1
multiple myeloma,203,40,Multiple myeloma,2,1
thymus neoplasm,164,41,Cancer; other and unspecified primary,1,1
thymoma,164,41,Cancer; other and unspecified primary,1,1
kaposis sarcoma,176,41,Cancer; other and unspecified primary,1,1
soft tissue sarcoma,176,41,Cancer; other and unspecified primary,1,1
retinoblastoma,190,41,Cancer; other and unspecified primary,1,1
lacrimal gland disease,190,41,Cancer; other and unspecified primary,1,1
uveal melanoma,190,41,Cancer; other and unspecified primary,1,1
adrenal cortical carcinoma,194,41,Cancer; other and unspecified primary,1,1
neuroblastoma,194,41,Cancer; other and unspecified primary,1,1
paraganglioma,194,41,Cancer; other and unspecified primary,1,1
head and neck tumor,195,41,Cancer; other and unspecified primary,2,1
hematological neoplasm,195,41,Cancer; other and unspecified primary,2,1
nasopharyngeal carcinoma,198,42,Secondary malignancies,1,1
metastasis,199,43,Malignant neoplasm without specification of site,1,1
carcinoid tumor,199,43,Malignant neoplasm without specification of site,1,1
esophagus tumor,235,44,Neoplasms of unspecified nature or uncertain behavior,1,1
vipoma,235,44,Neoplasms of unspecified nature or uncertain behavior,1,1
neurofibromatosis,237,44,Neoplasms of unspecified nature or uncertain behavior,1,1
neurofibromatosis type i,237,44,Neoplasms of unspecified nature or uncertain behavior,1,1
neurofibromatosis type ii,237,44,Neoplasms of unspecified nature or uncertain behavior,1,1
gastrointestinal tumor,238,44,Neoplasms of unspecified nature or uncertain behavior,1,1
myeloproliferative disorder,238,44,Neoplasms of unspecified nature or uncertain behavior,1,1
lymphoproliferative disease,238,44,Neoplasms of unspecified nature or uncertain behavior,1,1
myelodysplastic syndrome,238,44,Neoplasms of unspecified nature or uncertain behavior,1,1
plasmacytoma,238,44,Neoplasms of unspecified nature or uncertain behavior,1,1
thrombocythemia,238,44,Neoplasms of unspecified nature or uncertain behavior,1,1
gastrointestinal stromal tumor,238,44,Neoplasms of unspecified nature or uncertain behavior,1,1
post transplant lymphoproliferative disease,238,44,Neoplasms of unspecified nature or uncertain behavior,1,1
bladder tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
breast tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
neoplasm,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
cancer,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
ocular tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
urinary tract tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
respiratory tract tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
nerve tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
pituitary tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
thyroid tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
pancreatic endocrine tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
vascular neoplasm,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
penis tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
anal tumor,239,44,Neoplasms of unspecified nature or uncertain behavior,1,1
stomach tumor,209,47,Other and unspecified benign neoplasm,11,0
solid tumor,209,47,Other and unspecified benign neoplasm,11,0
endocrine tumor,209,47,Other and unspecified benign neoplasm,11,0
neuroendocrine tumor,209,47,Other and unspecified benign neoplasm,11,0
merkel cell carcinoma,209,47,Other and unspecified benign neoplasm,11,0
mouth tumor,210,47,Other and unspecified benign neoplasm,1,0
nasopharynx tumor,210,47,Other and unspecified benign neoplasm,1,0
familial adenomatous polyposis,211,47,Other and unspecified benign neoplasm,1,0
insulinoma,211,47,Other and unspecified benign neoplasm,1,0
intestinal polyp,211,47,Other and unspecified benign neoplasm,1,0
lipoma,214,47,Other and unspecified benign neoplasm,1,0
papulosis,216,47,Other and unspecified benign neoplasm,1,0
dysplastic nevus syndrome,216,47,Other and unspecified benign neoplasm,1,0
angiomyolipoma,223,47,Other and unspecified benign neoplasm,1,0
conjunctival neoplasm,224,47,Other and unspecified benign neoplasm,1,0
brain tumor,225,47,Other and unspecified benign neoplasm,1,0
neoplastic meningitis,225,47,Other and unspecified benign neoplasm,1,0
ependymoma,225,47,Other and unspecified benign neoplasm,1,0
acoustic neuroma,225,47,Other and unspecified benign neoplasm,1,0
meningioma,225,47,Other and unspecified benign neoplasm,1,0
pheochromocytoma,227,47,Other and unspecified benign neoplasm,1,0
adrenal gland tumor,227,47,Other and unspecified benign neoplasm,1,0
adenoma,227,47,Other and unspecified benign neoplasm,1,0
hemangioma,228,47,Other and unspecified benign neoplasm,1,0
goiter,240,48,Thyroid disorders,1,0
graves disease,242,48,Thyroid disorders,1,0
hyperthyroidism,242,48,Thyroid disorders,1,0
thyroid disease,242,48,Thyroid disorders,1,0
nodular goiter,242,48,Thyroid disorders,1,0
thyroid associated ophthalmopathy,242,48,Thyroid disorders,1,0
hypothyroidism,244,48,Thyroid disorders,1,0
hashimotos disease,246,48,Thyroid disorders,1,0
diabetes mellitus,250,50,Diabetes mellitus with complications,2,0
diabetic cataract,250,50,Diabetes mellitus with complications,2,0
diabetic complication,250,50,Diabetes mellitus with complications,2,0
diabetic macroangiopathy,250,50,Diabetes mellitus with complications,2,0
skin manifestation,250,50,Diabetes mellitus with complications,2,0
diabetic foot ulcer,250,50,Diabetes mellitus with complications,2,0
insulin dependent diabetes,250,50,Diabetes mellitus with complications,2,0
