cortellis_condition,revised_icd9,icd9,icd9_category,icd9_sub_chapter,icd9_chapter
listeria monocytogenes infection,,027,Other zoonotic bacterial diseases,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases
pasteurellaceae infection,,027,Other zoonotic bacterial diseases,Zoonotic Bacterial Diseases,Infectious And Parasitic Diseases
mycobacterium leprae infection,,030,Leprosy,Other Bacterial Diseases,Infectious And Parasitic Diseases
group a streptococcus infection,,030,Leprosy,Other Bacterial Diseases,Infectious And Parasitic Diseases
mycobacterium infection,,031,Diseases due to other mycobacteria,Other Bacterial Diseases,Infectious And Parasitic Diseases
corynebacterium diphtheriae infection,,032,Diphtheria,Other Bacterial Diseases,Infectious And Parasitic Diseases
corynebacterium infection,,032,Diphtheria,Other Bacterial Diseases,Infectious And Parasitic Diseases
bordetella pertussis infection,,033,Whooping cough,Other Bacterial Diseases,Infectious And Parasitic Diseases
streptococcus mutans infection,,034,Streptococcal sore throat and scarlet fever,Other Bacterial Diseases,Infectious And Parasitic Diseases
erysipelas,,035,Erysipelas,Other Bacterial Diseases,Infectious And Parasitic Diseases
neisseria meningitidis infection,,036,Meningococcal infection,Other Bacterial Diseases,Infectious And Parasitic Diseases
neisseria meningitidis meningitis,,036,Meningococcal infection,Other Bacterial Diseases,Infectious And Parasitic Diseases
micrococcaceae infection,,038,Septicemia,Other Bacterial Diseases,Infectious And Parasitic Diseases
moraxella catarrhalis infection,,038,Septicemia,Other Bacterial Diseases,Infectious And Parasitic Diseases
actinomyces israelii infection,,039,Actinomycotic infections,Other Bacterial Diseases,Infectious And Parasitic Diseases
bacterial infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
clostridium tetani infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
enterobacter infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
enterococcus faecium infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
escherichia coli infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
gram negative bacterium infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
gram positive bacterium infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
haemophilus influenzae infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
helicobacter pylori infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
streptococcus group b infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
legionella infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
mycoplasma infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
pseudomonas aeruginosa infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
staphylococcus aureus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
staphylococcus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
streptococcus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
campylobacter infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
proteus mirabilis infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
bacterial skin infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
enterobacteriaceae infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
hemolytic streptococcus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
helicobacter infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
klebsiella infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
esophageal function disorder,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
haemophilus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
mrsa infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
bacteroides infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
bacteroides fragilis infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
bacillus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
staphylococceae infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
streptococcaceae infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
citrobacter infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
morganella infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
proteus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
moraxella infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
pseudomonas infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
beta-hemolytic streptococcus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
streptococcus pyogenes infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
streptococcus agalactiae infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
enterococcus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
enterococcus faecalis infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
dacryocystitis,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
bifidobacterium infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
haemophilus parainfluenzae infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
morganella morganii infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
bacteroides thetaiotaomicron infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
enterobacter cloacae infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
propionibacterium infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
fusobacterium infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
staphylococcus epidermidis infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
viridans group streptococcus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
peptostreptococcus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
bacteroides uniformis infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
staphylococcus saprophyticus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
micrococcus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
streptococcus mitis infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
clostridium perfringens infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
bacteroides vulgatus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
streptococcus intermedius infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
ureaplasma urealyticum infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
haemophilus aegyptus infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
acinetobacter baumanii infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
bacteroides caccae infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
propionibacterium acnes infection,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
hematopoietic stem cell transplantation,,041,Bacterial infection in conditions classified elsewhere and of unspecified site,Other Bacterial Diseases,Infectious And Parasitic Diseases
acquired immune deficiency syndrome,,042,Human immunodeficiency virus [HIV] disease,Human Immunodeficiency Virus (Hiv) Infection,Infectious And Parasitic Diseases
aids related complex,,042,Human immunodeficiency virus [HIV] disease,Human Immunodeficiency Virus (Hiv) Infection,Infectious And Parasitic Diseases
hiv infection,,042,Human immunodeficiency virus [HIV] disease,Human Immunodeficiency Virus (Hiv) Infection,Infectious And Parasitic Diseases
pneumocystis carinii infection,,042,Human immunodeficiency virus [HIV] disease,Human Immunodeficiency Virus (Hiv) Infection,Infectious And Parasitic Diseases
poliovirus infection,,045,Acute poliomyelitis,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases
measles virus infection,,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases
central nervous system disease,,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases
creutzfeldt jakob disease,,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases
vaccinia virus infection,,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases
variant creutzfeldt jakob disease,,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases
progressive multifocal leukoencephalopathy,,046,Slow virus infections and prion diseases of central nervous system,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases
viral meningitis,,047,Meningitis due to enterovirus,Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases And Prion Diseases Of Central Nervous System,Infectious And Parasitic Diseases
variola virus infection,,050,Smallpox,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
liver transplantation,,050,Smallpox,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
vaccination,,051,Cowpox and paravaccinia,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
adult varicella zoster virus infection,,052,Chickenpox,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
islet cell transplant rejection,,052,Chickenpox,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
varicella zoster virus infection,,053,Herpes zoster,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
pediatric varicella zoster virus infection,,053,Herpes zoster,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
postherpetic neuralgia,,053,Herpes zoster,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
herpes simplex virus infection,,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
hsv-1 infection,,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
hsv-2 infection,,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
herpetic keratitis,,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
herpetic stromal keratitis,,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
genital herpes,,054,Herpes simplex,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
rubella virus infection,,056,Rubella,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
herpesvirus type 6 infection,,058,Other human herpesvirus,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
herpesvirus type 8 infection,,058,Other human herpesvirus,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
herpesvirus infection,,058,Other human herpesvirus,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
pox virus infection,,059,Other poxvirus infections,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
monkeypox virus infection,,059,Other poxvirus infections,Viral Diseases Generally Accompanied By Exanthem,Infectious And Parasitic Diseases
yellow fever virus infection,,060,Yellow fever,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
dengue virus infection,,061,Dengue,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
st louis encephalitis virus infection,,062,Mosquito-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
japanese encephalitis virus infection,,062,Mosquito-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
western equine encephalitis virus infection,,062,Mosquito-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
eastern equine encephalitis virus infection,,062,Mosquito-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
tick borne encephalitis virus infection,,063,Tick-borne viral encephalitis,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
pseudoobstruction,,064,Viral encephalitis transmitted by other and unspecified arthropods,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
junin virus infection,,065,Arthropod-borne hemorrhagic fever,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
crimean congo fever virus infection,,065,Arthropod-borne hemorrhagic fever,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
viral hemorrhagic fever,,065,Arthropod-borne hemorrhagic fever,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
flavivirus infection,,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
west nile virus infection,,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
venezuelan equine encephalitis virus infection,,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
rift valley fever,,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
phlebovirus infection,,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
ross river virus infection,,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
chikungunya virus infection,,066,Other arthropod-borne viral diseases,Arthropod-Borne Viral Diseases,Infectious And Parasitic Diseases
hepatitis a virus infection,,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
hepatitis b virus infection,,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
hepatitis c virus infection,,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
hepatitis virus infection,,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
hepatitis d virus infection,,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
hepatitis e virus infection,,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
hepatitis g virus infection,,070,Viral hepatitis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
rabies virus infection,,071,Rabies,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
infectious mononucleosis,,075,Infectious mononucleosis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
epstein barr virus infection,,075,Infectious mononucleosis,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
trachoma,,076,Trachoma,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
molluscum contagiosum infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
pestivirus infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
foot and mouth disease virus infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
chorioretinitis,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
mouth disease,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
arenavirus infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
vesicular stomatitis virus infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
marburg virus infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
ebola virus infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
verruca vulgaris,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
condyloma,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
alphavirus infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
filovirus infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
cmv retinitis,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
lassa fever,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
henipavirus infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
enterovirus 71 infection,,078,Other diseases due to viruses and Chlamydiae,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
adenovirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
chlamydia trachomatis infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
enterovirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
hiv-1 infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
hiv-2 infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
papovavirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
picornavirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
respiratory syncytial virus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
retrovirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
rhinovirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
viral infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
scabies infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
coxsackie virus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
parainfluenza virus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
viral skin infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
chlamydia infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
bunyavirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
hantavirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
chlamydiae infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
coronavirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
sars coronavirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
metapneumovirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
punta toro virus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
nipah virus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
polyomavirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
bk virus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
viral eye infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
parechovirus infection,,079,Viral and chlamydial infection in conditions classified elsewhere and of unspecified site,Other Diseases Due To Viruses And Chlamydiae,Infectious And Parasitic Diseases
spondylosyndesis,,081,Other typhus,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
scrub typhus,,081,Other typhus,Rickettsioses And Other Arthropod-Borne Diseases,Infectious And Parasitic Diseases
